# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 
2e-05           	DILUPBiCGStab	1.00000000e+00	8.63520430e-07	23	1.00000000e+00	9.23656070e-07	21	1.00000000e+00	9.56367300e-08	1	false	DILUPBiCGStab	1.00000000e+00	7.09360140e-07	7	true	GAMG	1.00000000e+00	2.09275410e-03	1	true	DILUPBiCGStab	9.99999940e-01	8.54469300e-07	11	true	DILUPBiCGStab	0.00000000e+00	0.00000000e+00	0	true
4e-05           	DILUPBiCGStab	8.75178320e-04	5.35119630e-08	1	9.19874410e-01	9.09144500e-07	27	3.01005560e-01	5.53778600e-07	1	false	DILUPBiCGStab	1.36240000e-03	8.70234850e-07	1	true	GAMG	1.00000000e+00	3.74821240e-05	1	true	DILUPBiCGStab	1.94815830e-04	2.84487030e-07	1	true	DILUPBiCGStab	0.00000000e+00	0.00000000e+00	0	true
6e-05           	DILUPBiCGStab	6.91162840e-03	4.24159210e-08	1	3.23477750e-02	8.09207760e-07	1	1.84252370e-01	3.15614660e-07	1	false	DILUPBiCGStab	1.44657530e-03	6.07199800e-07	1	true	GAMG	3.09839270e-04	3.50575380e-09	1	true	DILUPBiCGStab	2.25813490e-03	7.57386900e-07	2	true	DILUPBiCGStab	0.00000000e+00	0.00000000e+00	0	true
8e-05           	DILUPBiCGStab	2.64481870e-04	1.68039850e-08	1	7.53628610e-04	6.38046990e-07	1	1.32079920e-01	2.67897210e-07	1	false	DILUPBiCGStab	1.36016230e-03	4.41087480e-07	1	true	GAMG	3.13732380e-04	2.20782050e-08	1	true	DILUPBiCGStab	2.55807420e-04	9.18513910e-08	1	true	DILUPBiCGStab	0.00000000e+00	0.00000000e+00	0	true
0.0001          	DILUPBiCGStab	9.57463800e-04	3.37320560e-07	1	9.69697140e-02	8.25055330e-07	2	1.03601180e-01	2.84480550e-07	1	false	DILUPBiCGStab	1.33833470e-03	3.76059380e-07	1	true	GAMG	3.62004340e-04	6.11199410e-07	1	true	DILUPBiCGStab	7.45974520e-02	2.92174640e-07	5	true	DILUPBiCGStab	0.00000000e+00	0.00000000e+00	0	true
0.00012         	DILUPBiCGStab	9.81951460e-01	9.22100910e-07	2	9.84796340e-01	7.76390570e-07	2	9.69617980e-01	4.54378660e-08	3	false	DILUPBiCGStab	5.49467290e-02	7.80837770e-07	1	true	GAMG	4.90919960e-01	2.61879980e-03	1	true	DILUPBiCGStab	1.00000000e+00	1.05455750e-07	1	true	DILUPBiCGStab	0.00000000e+00	0.00000000e+00	0	true
0.00014         	DILUPBiCGStab	9.99986490e-01	4.78505090e-07	1	9.99996790e-01	4.32718190e-07	1	9.99882910e-01	7.94937300e-07	1	false	DILUPBiCGStab	6.52344160e-01	3.45323020e-08	2	true	GAMG	9.89646460e-01	5.91041610e-04	1	true	DILUPBiCGStab	1.00000000e+00	6.08593500e-07	12	true	DILUPBiCGStab	0.00000000e+00	0.00000000e+00	0	true
0.00016         	DILUPBiCGStab	5.41980600e-02	1.87989590e-07	11	5.51205160e-02	5.45798720e-07	11	7.20062510e-02	8.13268900e-08	12	false	DILUPBiCGStab	8.17014670e-01	3.91765670e-07	3	true	GAMG	9.99999990e-01	3.55072480e-05	1	true	DILUPBiCGStab	1.00000000e+00	4.29683890e-07	12	true	DILUPBiCGStab	0.00000000e+00	0.00000000e+00	0	true
0.00018         	DILUPBiCGStab	9.96261860e-01	2.44374620e-07	3	9.96265520e-01	3.06203300e-07	3	9.96257110e-01	2.25412960e-07	3	false	DILUPBiCGStab	2.93411760e-01	4.12254060e-07	2	true	GAMG	1.00000000e+00	1.38931390e-05	1	true	DILUPBiCGStab	1.00000000e+00	9.22023820e-07	26	true	DILUPBiCGStab	0.00000000e+00	0.00000000e+00	0	true
0.0002          	DILUPBiCGStab	8.87117590e-01	3.43376000e+05	1000	8.91428070e-01	3.66368120e+07	1000	8.60597790e-01	8.81393320e+01	1000	false	DILUPBiCGStab	7.60727270e-01	5.91667470e-07	4	true	GAMG	1.00000000e+00	1.71111190e-03	1	true	DILUPBiCGStab	1.00000000e+00	1.47976950e+05	1000	false	DILUPBiCGStab	0.00000000e+00	0.00000000e+00	0	true
