# Force and moment coefficients
# dragDir     : (9.902670e-01 1.391810e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-1.391810e-01 9.902670e-01 0.000000e+00)
# rollAxis    : (9.902670e-01 1.391810e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-1.391810e-01 9.902670e-01 0.000000e+00)
# magUInf     : 2.600000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
25            	1.556279e-01	5.320980e-02	1.024181e-01	9.841660e-01	4.003127e+00	-3.018961e+00	3.511044e+00	-2.460415e-02	3.890697e-03	5.671063e-17	3.890697e-03	-3.890697e-03
50            	1.203282e-01	3.368816e-02	8.664000e-02	1.059037e+00	8.199577e+00	-7.140540e+00	7.670058e+00	-2.647592e-02	3.008204e-03	5.376861e-17	3.008204e-03	-3.008204e-03
75            	7.831473e-02	1.395998e-02	6.435476e-02	1.007896e+00	9.785952e+00	-8.778056e+00	9.282004e+00	-2.519739e-02	1.957868e-03	-3.862666e-18	1.957868e-03	-1.957868e-03
100           	5.334516e-02	-1.421117e-03	5.476628e-02	1.123748e+00	1.193382e+01	-1.081007e+01	1.137194e+01	-2.809370e-02	1.333629e-03	3.717237e-17	1.333629e-03	-1.333629e-03
125           	7.060837e-02	-3.323765e-04	7.094075e-02	1.425462e+00	1.282019e+01	-1.139473e+01	1.210746e+01	-3.563656e-02	1.765209e-03	5.848108e-17	1.765209e-03	-1.765209e-03
150           	6.231924e-02	-7.478865e-03	6.979811e-02	1.545539e+00	1.374853e+01	-1.220299e+01	1.297576e+01	-3.863849e-02	1.557981e-03	6.008773e-17	1.557981e-03	-1.557981e-03
175           	5.753684e-02	-1.107598e-02	6.861282e-02	1.593776e+00	1.414498e+01	-1.255120e+01	1.334809e+01	-3.984440e-02	1.438421e-03	6.012411e-17	1.438421e-03	-1.438421e-03
200           	5.610430e-02	-1.225201e-02	6.835631e-02	1.612166e+00	1.428028e+01	-1.266812e+01	1.347420e+01	-4.030416e-02	1.402607e-03	6.017479e-17	1.402607e-03	-1.402607e-03
225           	5.543818e-02	-1.273823e-02	6.817641e-02	1.618293e+00	1.433272e+01	-1.271443e+01	1.352358e+01	-4.045732e-02	1.385954e-03	6.005725e-17	1.385954e-03	-1.385954e-03
250           	5.518926e-02	-1.289958e-02	6.808884e-02	1.619768e+00	1.434846e+01	-1.272869e+01	1.353858e+01	-4.049421e-02	1.379731e-03	5.990994e-17	1.379731e-03	-1.379731e-03
275           	5.510038e-02	-1.294161e-02	6.804199e-02	1.619672e+00	1.435169e+01	-1.273202e+01	1.354186e+01	-4.049180e-02	1.377510e-03	5.984446e-17	1.377510e-03	-1.377510e-03
300           	5.510294e-02	-1.293389e-02	6.803684e-02	1.619415e+00	1.435025e+01	-1.273083e+01	1.354054e+01	-4.048536e-02	1.377574e-03	5.979346e-17	1.377574e-03	-1.377574e-03
325           	5.509063e-02	-1.293249e-02	6.802312e-02	1.619112e+00	1.434956e+01	-1.273045e+01	1.354001e+01	-4.047781e-02	1.377266e-03	5.979174e-17	1.377266e-03	-1.377266e-03
350           	5.511603e-02	-1.291858e-02	6.803461e-02	1.619064e+00	1.434821e+01	-1.272915e+01	1.353868e+01	-4.047659e-02	1.377901e-03	5.977771e-17	1.377901e-03	-1.377901e-03
375           	5.510005e-02	-1.292383e-02	6.802388e-02	1.618954e+00	1.434852e+01	-1.272956e+01	1.353904e+01	-4.047385e-02	1.377501e-03	5.978838e-17	1.377501e-03	-1.377501e-03
400           	5.512201e-02	-1.291423e-02	6.803625e-02	1.619010e+00	1.434770e+01	-1.272869e+01	1.353819e+01	-4.047524e-02	1.378050e-03	5.977917e-17	1.378050e-03	-1.378050e-03
425           	5.510386e-02	-1.292174e-02	6.802561e-02	1.618947e+00	1.434835e+01	-1.272940e+01	1.353888e+01	-4.047367e-02	1.377597e-03	5.979077e-17	1.377597e-03	-1.377597e-03
450           	5.512182e-02	-1.291436e-02	6.803618e-02	1.619011e+00	1.434773e+01	-1.272872e+01	1.353822e+01	-4.047527e-02	1.378045e-03	5.977955e-17	1.378045e-03	-1.378045e-03
475           	5.510355e-02	-1.292193e-02	6.802549e-02	1.618948e+00	1.434833e+01	-1.272938e+01	1.353886e+01	-4.047371e-02	1.377589e-03	5.979115e-17	1.377589e-03	-1.377589e-03
500           	5.512257e-02	-1.291406e-02	6.803664e-02	1.619014e+00	1.434773e+01	-1.272872e+01	1.353823e+01	-4.047535e-02	1.378064e-03	5.978007e-17	1.378064e-03	-1.378064e-03
525           	5.510252e-02	-1.292243e-02	6.802496e-02	1.618948e+00	1.434839e+01	-1.272944e+01	1.353892e+01	-4.047370e-02	1.377563e-03	5.979024e-17	1.377563e-03	-1.377563e-03
550           	5.512254e-02	-1.291409e-02	6.803663e-02	1.619014e+00	1.434769e+01	-1.272868e+01	1.353819e+01	-4.047536e-02	1.378063e-03	5.978009e-17	1.378063e-03	-1.378063e-03
575           	5.510382e-02	-1.292188e-02	6.802570e-02	1.618952e+00	1.434837e+01	-1.272942e+01	1.353890e+01	-4.047379e-02	1.377596e-03	5.979111e-17	1.377596e-03	-1.377596e-03
600           	5.512169e-02	-1.291449e-02	6.803618e-02	1.619013e+00	1.434775e+01	-1.272873e+01	1.353824e+01	-4.047533e-02	1.378042e-03	5.977963e-17	1.378042e-03	-1.378042e-03
625           	5.510347e-02	-1.292201e-02	6.802547e-02	1.618950e+00	1.434834e+01	-1.272939e+01	1.353887e+01	-4.047374e-02	1.377587e-03	5.979115e-17	1.377587e-03	-1.377587e-03
650           	5.512253e-02	-1.291409e-02	6.803662e-02	1.619014e+00	1.434774e+01	-1.272872e+01	1.353823e+01	-4.047536e-02	1.378063e-03	5.978005e-17	1.378063e-03	-1.378063e-03
675           	5.510251e-02	-1.292244e-02	6.802495e-02	1.618948e+00	1.434839e+01	-1.272944e+01	1.353892e+01	-4.047370e-02	1.377563e-03	5.979023e-17	1.377563e-03	-1.377563e-03
