# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.60000000e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2e-05           	8.19434094e-02	2.30848525e-02	5.88585569e-02	3.57737044e-01	6.43955658e-02	2.93341478e-01	-1.14472956e-01	-1.78868522e-02	4.09717047e-03	3.44755015e-21	4.09717047e-03	-4.09717047e-03
4e-05           	6.99058998e-02	2.65741807e-02	4.33317191e-02	1.67575384e-01	5.56199673e-02	1.11955417e-01	-2.81677248e-02	-8.37876921e-03	3.49529499e-03	1.78054402e-22	3.49529499e-03	-3.49529499e-03
6e-05           	7.60475954e-02	2.42602455e-02	5.17873499e-02	2.75271044e-01	6.05044530e-02	2.14766591e-01	-7.71310689e-02	-1.37635522e-02	3.80237977e-03	2.20078682e-21	3.80237977e-03	-3.80237977e-03
8e-05           	6.28498204e-02	2.16580500e-02	4.11917704e-02	1.95337204e-01	5.56947087e-02	1.39642496e-01	-4.19738935e-02	-9.76686022e-03	3.14249102e-03	8.34991545e-22	3.14249102e-03	-3.14249102e-03
0.0001          	6.22148292e-02	1.93031745e-02	4.29116547e-02	2.36084801e-01	5.64157064e-02	1.79669095e-01	-6.16266943e-02	-1.18042401e-02	3.11074146e-03	1.56426846e-21	3.11074146e-03	-3.11074146e-03
0.00012         	5.49345478e-02	1.72823529e-02	3.76521949e-02	2.03698420e-01	5.36095590e-02	1.50088861e-01	-4.82396512e-02	-1.01849210e-02	2.74672739e-03	1.12177228e-21	2.74672739e-03	-2.74672739e-03
0.00014         	5.22493561e-02	1.54295191e-02	3.68198370e-02	2.13903180e-01	5.37183673e-02	1.60184812e-01	-5.32332225e-02	-1.06951590e-02	2.61246781e-03	1.21060486e-21	2.61246781e-03	-2.61246781e-03
0.00016         	4.81754150e-02	1.39085482e-02	3.42668668e-02	2.03583186e-01	5.19579299e-02	1.51625256e-01	-4.98336632e-02	-1.01791593e-02	2.40877075e-03	1.17452256e-21	2.40877075e-03	-2.40877075e-03
0.00018         	4.54319138e-02	1.25449430e-02	3.28869708e-02	2.03420278e-01	5.13497530e-02	1.52070525e-01	-5.03603859e-02	-1.01710139e-02	2.27159569e-03	1.16316233e-21	2.27159569e-03	-2.27159569e-03
0.0002          	4.27153963e-02	1.13819132e-02	3.13334831e-02	1.99515700e-01	5.02640325e-02	1.49251667e-01	-4.94938173e-02	-9.97578499e-03	2.13576981e-03	1.16247139e-21	2.13576981e-03	-2.13576981e-03
