# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.01096938e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2e-05           	5.08670549e-01	1.44425152e-01	3.64245397e-01	2.19820246e+00	4.00332080e-01	1.79787038e+00	-6.98769149e-01	-1.09910123e-01	2.54335275e-02	2.06988481e-20	2.54335275e-02	-2.54335275e-02
4e-05           	4.42441317e-01	1.66709069e-01	2.75732248e-01	1.09023179e+00	3.51755163e-01	7.38476629e-01	-1.93360733e-01	-5.45115896e-02	2.21220659e-02	1.80640661e-21	2.21220659e-02	-2.21220659e-02
6e-05           	4.71566705e-01	1.51934854e-01	3.19631850e-01	1.67696996e+00	3.75763205e-01	1.30120676e+00	-4.62721777e-01	-8.38484982e-02	2.35783352e-02	1.29390828e-20	2.35783352e-02	-2.35783352e-02
8e-05           	3.97022027e-01	1.35744448e-01	2.61277580e-01	1.25533132e+00	3.51947532e-01	9.03383791e-01	-2.75718129e-01	-6.27665662e-02	1.98511014e-02	5.50317009e-21	1.98511014e-02	-1.98511014e-02
0.0001          	3.85999157e-01	1.20933329e-01	2.65065827e-01	1.44132498e+00	3.51029689e-01	1.09029529e+00	-3.69632799e-01	-7.20662488e-02	1.92999578e-02	9.25810169e-21	1.92999578e-02	-1.92999578e-02
0.00012         	3.45425372e-01	1.08023729e-01	2.37401644e-01	1.29377915e+00	3.38328300e-01	9.55450852e-01	-3.08561276e-01	-6.46889576e-02	1.72712686e-02	7.03406991e-21	1.72712686e-02	-1.72712686e-02
0.00014         	3.25612275e-01	9.66521672e-02	2.28960107e-01	1.32307940e+00	3.35352720e-01	9.87726681e-01	-3.26186980e-01	-6.61539701e-02	1.62806137e-02	7.43156354e-21	1.62806137e-02	-1.62806137e-02
0.00016         	3.02084430e-01	8.69801148e-02	2.15104316e-01	1.28124201e+00	3.27294982e-01	9.53947027e-01	-3.13326022e-01	-6.40621004e-02	1.51042215e-02	7.21801498e-21	1.51042215e-02	-1.51042215e-02
0.00018         	2.84045240e-01	7.85339613e-02	2.05511279e-01	1.26977317e+00	3.21926605e-01	9.47846570e-01	-3.12959982e-01	-6.34886587e-02	1.42022620e-02	7.17848065e-21	1.42022620e-02	-1.42022620e-02
0.0002          	2.67401404e-01	7.11879943e-02	1.96213410e-01	1.25025415e+00	3.16088082e-01	9.34166072e-01	-3.09038995e-01	-6.25127077e-02	1.33700702e-02	7.12302462e-21	1.33700702e-02	-1.33700702e-02
0.00022         	2.52502029e-01	6.45962804e-02	1.87905749e-01	1.23309469e+00	3.10688186e-01	9.22406501e-01	-3.05859158e-01	-6.16547343e-02	1.26251015e-02	7.06683761e-21	1.26251015e-02	-1.26251015e-02
0.00024         	2.38804772e-01	5.86044617e-02	1.80200311e-01	1.21595849e+00	3.05426624e-01	9.10531865e-01	-3.02552621e-01	-6.07979244e-02	1.19402386e-02	7.02289844e-21	1.19402386e-02	-1.19402386e-02
0.00026         	2.26094796e-01	5.31049655e-02	1.72989830e-01	1.19884865e+00	3.00348719e-01	8.98499926e-01	-2.99075604e-01	-5.99424323e-02	1.13047398e-02	6.97520807e-21	1.13047398e-02	-1.13047398e-02
0.00028         	2.14199969e-01	4.80118497e-02	1.66188120e-01	1.18176270e+00	2.95441328e-01	8.86321373e-01	-2.95440023e-01	-5.90881351e-02	1.07099985e-02	6.91382906e-21	1.07099985e-02	-1.07099985e-02
0.0003          	2.02994943e-01	4.32717960e-02	1.59723147e-01	1.16451351e+00	2.90722158e-01	8.73791349e-01	-2.91534595e-01	-5.82256754e-02	1.01497471e-02	6.82546736e-21	1.01497471e-02	-1.01497471e-02
0.00032         	1.92419243e-01	3.88544640e-02	1.53564779e-01	1.14710315e+00	2.86140902e-01	8.60962244e-01	-2.87410671e-01	-5.73551573e-02	9.62096213e-03	6.64036535e-21	9.62096213e-03	-9.62096213e-03
0.00034         	1.82419809e-01	3.47145089e-02	1.47705300e-01	1.12990791e+00	2.81821574e-01	8.48086333e-01	-2.83132380e-01	-5.64953954e-02	9.12099043e-03	6.48704396e-21	9.12099043e-03	-9.12099043e-03
0.00036         	1.72947347e-01	3.08293126e-02	1.42118034e-01	1.11288722e+00	2.77745606e-01	8.35141612e-01	-2.78698003e-01	-5.56443609e-02	8.64736735e-03	6.28694764e-21	8.64736735e-03	-8.64736735e-03
0.00038         	1.63952809e-01	2.71734108e-02	1.36779398e-01	1.09605987e+00	2.73938050e-01	8.22121821e-01	-2.74091885e-01	-5.48029935e-02	8.19764043e-03	6.04061227e-21	8.19764043e-03	-8.19764043e-03
0.0004          	1.55397355e-01	2.37278124e-02	1.31669542e-01	1.07941730e+00	2.70392169e-01	8.09025131e-01	-2.69316481e-01	-5.39708650e-02	7.76986773e-03	5.75255039e-21	7.76986773e-03	-7.76986773e-03
0.00042         	1.47242043e-01	2.04734765e-02	1.26768566e-01	1.06295090e+00	2.67107880e-01	7.95843016e-01	-2.64367568e-01	-5.31475448e-02	7.36210213e-03	5.42282062e-21	7.36210213e-03	-7.36210213e-03
0.00044         	1.39456609e-01	1.73958074e-02	1.22060801e-01	1.04664994e+00	2.64084484e-01	7.82565452e-01	-2.59240484e-01	-5.23324968e-02	6.97283043e-03	5.06543314e-21	6.97283043e-03	-6.97283043e-03
0.00046         	1.32005405e-01	1.44764477e-02	1.17528957e-01	1.03052509e+00	2.61329837e-01	7.69195255e-01	-2.53932709e-01	-5.15262546e-02	6.60027023e-03	4.67313855e-21	6.60027023e-03	-6.60027023e-03
0.00048         	1.24885654e-01	1.17140746e-02	1.13171579e-01	1.01457504e+00	2.58846326e-01	7.55728718e-01	-2.48441196e-01	-5.07287522e-02	6.24428268e-03	4.26558547e-21	6.24428268e-03	-6.24428268e-03
0.0005          	1.18075853e-01	9.09650960e-03	1.08979343e-01	9.98828337e-01	2.56654379e-01	7.42173959e-01	-2.42759790e-01	-4.99414169e-02	5.90379265e-03	3.83900018e-21	5.90379265e-03	-5.90379265e-03
0.00052         	1.11533150e-01	6.58835676e-03	1.04944793e-01	9.83564362e-01	2.54903928e-01	7.28660433e-01	-2.36878252e-01	-4.91782181e-02	5.57665748e-03	3.47888500e-21	5.57665748e-03	-5.57665748e-03
