# Force         
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2e-05            3.23776438e+02 -2.63827352e-19 1.41349776e+03 3.13446258e+02 -4.97825546e-19 1.41338747e+03 1.03301803e+01 2.33998194e-19 1.10293277e-01
4e-05            2.76213589e+02 -1.31823243e-17 6.62127209e+02 2.66744957e+02 -1.39480235e-17 6.61569057e+02 9.46863217e+00 7.65699151e-19 5.58151817e-01
6e-05            3.00480780e+02 -5.19006353e-18 1.08765645e+03 2.90790323e+02 -6.22381537e-18 1.08746042e+03 9.69045720e+00 1.03375184e-18 1.96032026e-01
8e-05            2.48333467e+02 -1.05866211e-17 7.71820269e+02 2.39427641e+02 -1.15854718e-17 7.71578401e+02 8.90582666e+00 9.98850663e-19 2.41867617e-01
0.0001           2.45824477e+02 -7.70508760e-18 9.32822989e+02 2.37132036e+02 -8.52146157e-18 9.32688151e+02 8.69244079e+00 8.16373970e-19 1.34838343e-01
0.00012          2.17058484e+02 -9.45348736e-18 8.04857273e+02 2.08809127e+02 -1.02810692e-17 8.04727717e+02 8.24935700e+00 8.27581867e-19 1.29555542e-01
0.00014          2.06448701e+02 -9.10249029e-18 8.45178521e+02 1.98538291e+02 -9.85313707e-18 8.45080299e+02 7.91040964e+00 7.50646786e-19 9.82225868e-02
0.00016          1.90351663e+02 -9.24505942e-18 8.04401957e+02 1.82761587e+02 -1.00279321e-17 8.04311591e+02 7.59007673e+00 7.82872643e-19 9.03658549e-02
0.00018          1.79511486e+02 -9.28994618e-18 8.03758270e+02 1.72204479e+02 -1.00124006e-17 8.03678064e+02 7.30700741e+00 7.22454386e-19 8.02065628e-02
0.0002           1.68777928e+02 -9.29267624e-18 7.88330423e+02 1.61700568e+02 -9.99230649e-18 7.88256242e+02 7.07736025e+00 6.99630250e-19 7.41810052e-02
0.00022          1.59438406e+02 -9.32701008e-18 7.77463909e+02 1.52545328e+02 -1.00065961e-17 7.77393795e+02 6.89307851e+00 6.79586049e-19 7.01140362e-02
0.00024          1.50861901e+02 -9.34660711e-18 7.66637211e+02 1.44116689e+02 -1.00148221e-17 7.66570183e+02 6.74521201e+00 6.68215027e-19 6.70277273e-02
0.00026          1.42822052e+02 -9.36799129e-18 7.55398105e+02 1.36197607e+02 -1.00416818e-17 7.55333083e+02 6.62444452e+00 6.73690528e-19 6.50224713e-02
0.00028          1.35301102e+02 -9.40706469e-18 7.44520412e+02 1.28779521e+02 -1.00844959e-17 7.44456753e+02 6.52158078e+00 6.77431213e-19 6.36595061e-02
0.0003           1.28213779e+02 -9.50113407e-18 7.33372784e+02 1.21780967e+02 -1.01418573e-17 7.33309914e+02 6.43281178e+00 6.40723227e-19 6.28702317e-02
0.00032          1.21521359e+02 -9.52699879e-18 7.22416385e+02 1.15166329e+02 -1.02194484e-17 7.22353872e+02 6.35503014e+00 6.92449636e-19 6.25128403e-02
0.00034          1.15221100e+02 -9.67345236e-18 7.11445809e+02 1.08934044e+02 -1.03183221e-17 7.11383294e+02 6.28705589e+00 6.44869789e-19 6.25154635e-02
0.00036          1.09257886e+02 -9.79670718e-18 7.00690840e+02 1.03030919e+02 -1.04401710e-17 7.00628029e+02 6.22696767e+00 6.43463822e-19 6.28116726e-02
0.00038          1.03598822e+02 -9.94982984e-18 6.90054442e+02 9.74255971e+01 -1.05879901e-17 6.89991084e+02 6.17322460e+00 6.38160278e-19 6.33582486e-02
0.0004           9.82166379e+01 -1.01271957e-17 6.79544675e+02 9.20919990e+01 -1.07629799e-17 6.79480532e+02 6.12463894e+00 6.35784226e-19 6.41429341e-02
0.00042          9.30855950e+01 -1.03307822e-17 6.69151395e+02 8.70053005e+01 -1.09618464e-17 6.69086246e+02 6.08029449e+00 6.31064152e-19 6.51497428e-02
0.00044          8.81868750e+01 -1.05541496e-17 6.58869074e+02 8.21473814e+01 -1.11827386e-17 6.58802718e+02 6.03949363e+00 6.28589036e-19 6.63561245e-02
0.00046          8.34980676e+01 -1.07957828e-17 6.48696333e+02 7.74963862e+01 -1.14226629e-17 6.48628594e+02 6.00168136e+00 6.26880123e-19 6.77383408e-02
0.00048          7.90172698e+01 -1.10574838e-17 6.38639111e+02 7.30508386e+01 -1.16763477e-17 6.38569836e+02 5.96643121e+00 6.18863865e-19 6.92746806e-02
0.0005           7.47318664e+01 -1.13208032e-17 6.28714027e+02 6.87984984e+01 -1.19388993e-17 6.28643075e+02 5.93336800e+00 6.18096094e-19 7.09526782e-02
0.00052          7.06127798e+01 -1.15411210e-17 6.19103599e+02 6.47111180e+01 -1.22078928e-17 6.19030826e+02 5.90166185e+00 6.66771740e-19 7.27730831e-02
0.00054          6.66835076e+01 -1.18088791e-17 6.09492641e+02 6.08118865e+01 -1.24743558e-17 6.09417986e+02 5.87162116e+00 6.65476690e-19 7.46549475e-02
0.00056          6.29078477e+01 -1.20767139e-17 5.99901750e+02 5.70648531e+01 -1.27382766e-17 5.99825148e+02 5.84299458e+00 6.61562748e-19 7.66025842e-02
0.00058          5.93019254e+01 -1.23382735e-17 5.90563666e+02 5.34858795e+01 -1.29949206e-17 5.90485093e+02 5.81604590e+00 6.56647107e-19 7.85734691e-02
0.0006           5.58453120e+01 -1.25894721e-17 5.81362486e+02 5.00549832e+01 -1.32449236e-17 5.81281922e+02 5.79032881e+00 6.55451503e-19 8.05643929e-02
0.00062          5.25283677e+01 -1.28356505e-17 5.72296556e+02 4.67626919e+01 -1.34886870e-17 5.72213993e+02 5.76567585e+00 6.53036518e-19 8.25628208e-02
0.00064          4.93452599e+01 -1.30797465e-17 5.63361116e+02 4.36033310e+01 -1.37275191e-17 5.63276568e+02 5.74192895e+00 6.47772570e-19 8.45481576e-02
0.00066          4.62873557e+01 -1.33163258e-17 5.54538770e+02 4.05684064e+01 -1.39612904e-17 5.54452255e+02 5.71894934e+00 6.44964587e-19 8.65158047e-02
