# Force         
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2e-05            3.18433457e+02 -9.28145858e-19 1.37609934e+03 3.10200743e+02 -1.01239774e-18 1.37585392e+03 8.23271378e+00 8.42518841e-20 2.45424666e-01
4e-05            2.76973217e+02 -1.27550257e-17 6.82497304e+02 2.68753731e+02 -1.35543754e-17 6.82044486e+02 8.21948602e+00 7.99349690e-19 4.52817594e-01
6e-05            2.95206035e+02 -5.78584581e-18 1.04980197e+03 2.87433235e+02 -6.69215850e-18 1.04957570e+03 7.77279985e+00 9.06312683e-19 2.26264805e-01
8e-05            2.48540233e+02 -1.04408104e-17 7.85851459e+02 2.40956388e+02 -1.13600864e-17 7.85624339e+02 7.58384446e+00 9.19276011e-19 2.27119461e-01
0.0001           2.41639792e+02 -8.09018116e-18 9.02285567e+02 2.34397018e+02 -8.84663759e-18 9.02112968e+02 7.24277423e+00 7.56456428e-19 1.72599171e-01
0.00012          2.16240149e+02 -9.48244995e-18 8.09920230e+02 2.09221386e+02 -1.02293797e-17 8.09759429e+02 7.01876320e+00 7.46929802e-19 1.60800549e-01
0.00014          2.03836928e+02 -9.23361449e-18 8.28262514e+02 1.97090769e+02 -9.94026967e-18 8.28118817e+02 6.74615975e+00 7.06655187e-19 1.43697271e-01
0.00016          1.89108235e+02 -9.36729827e-18 8.02071838e+02 1.82591404e+02 -1.00582400e-17 8.01936852e+02 6.51683044e+00 6.90941744e-19 1.34986170e-01
0.00018          1.77815499e+02 -9.39204721e-18 7.94892219e+02 1.71510111e+02 -1.00328846e-17 7.94764799e+02 6.30538838e+00 6.40837372e-19 1.27420336e-01
0.0002           1.67396272e+02 -9.42676330e-18 7.82673094e+02 1.61263980e+02 -1.00320397e-17 7.82551125e+02 6.13229207e+00 6.05276365e-19 1.21968682e-01
0.00022          1.58069097e+02 -9.46193700e-18 7.71931075e+02 1.52072006e+02 -1.00387734e-17 7.71813529e+02 5.99709072e+00 5.76836430e-19 1.17545943e-01
0.00024          1.49494460e+02 -9.48944341e-18 7.61203624e+02 1.43603004e+02 -1.00495701e-17 7.61089815e+02 5.89145581e+00 5.60126697e-19 1.13808619e-01
0.00026          1.41537873e+02 -9.51929812e-18 7.50492670e+02 1.35729082e+02 -1.00754791e-17 7.50382034e+02 5.80879025e+00 5.56181008e-19 1.10636668e-01
0.00028          1.34091578e+02 -9.55772207e-18 7.39796678e+02 1.28350377e+02 -1.01151473e-17 7.39688716e+02 5.74120141e+00 5.57425270e-19 1.07962048e-01
0.0003           1.27077106e+02 -9.61303748e-18 7.28998490e+02 1.21392029e+02 -1.01725540e-17 7.28892785e+02 5.68507721e+00 5.59516534e-19 1.05704437e-01
0.00032          1.20456600e+02 -9.72891341e-18 7.18099409e+02 1.14819810e+02 -1.02516048e-17 7.17995607e+02 5.63678971e+00 5.22691373e-19 1.03801898e-01
0.00034          1.14196842e+02 -9.82489431e-18 7.07334996e+02 1.08600846e+02 -1.03542440e-17 7.07232753e+02 5.59599603e+00 5.29349688e-19 1.02243858e-01
0.00036          1.08266975e+02 -9.95015685e-18 6.96679855e+02 1.02706287e+02 -1.04820407e-17 6.96578872e+02 5.56068770e+00 5.31883854e-19 1.00982698e-01
0.00038          1.02636293e+02 -1.01043655e-17 6.86145747e+02 9.71066418e+01 -1.06376772e-17 6.86045745e+02 5.52965150e+00 5.33311663e-19 1.00002265e-01
0.0004           9.72804833e+01 -1.02846955e-17 6.75727311e+02 9.17785454e+01 -1.08183158e-17 6.75628017e+02 5.50193791e+00 5.33620280e-19 9.92938881e-02
0.00042          9.21751668e+01 -1.04911100e-17 6.65419158e+02 8.66982968e+01 -1.10223353e-17 6.65320314e+02 5.47686998e+00 5.31225253e-19 9.88444239e-02
0.00044          8.73013978e+01 -1.07148386e-17 6.55214575e+02 8.18474562e+01 -1.12467448e-17 6.55115937e+02 5.45394164e+00 5.31906211e-19 9.86379904e-02
0.00046          8.26368608e+01 -1.09604194e-17 6.45120242e+02 7.72040890e+01 -1.14876150e-17 6.45021591e+02 5.43277180e+00 5.27195605e-19 9.86513356e-02
0.00048          7.81798169e+01 -1.12155522e-17 6.35135334e+02 7.27667385e+01 -1.17412284e-17 6.35036475e+02 5.41307841e+00 5.25676227e-19 9.88580441e-02
0.0005           7.39168055e+01 -1.14825994e-17 6.25277719e+02 6.85221857e+01 -1.20038319e-17 6.25178477e+02 5.39461975e+00 5.21232549e-19 9.92418446e-02
0.00052          6.98210000e+01 -1.17080355e-17 6.15722299e+02 6.44442245e+01 -1.22724160e-17 6.15622507e+02 5.37677553e+00 5.64380472e-19 9.97923956e-02
0.00054          6.59142966e+01 -1.19757056e-17 6.06168803e+02 6.05544206e+01 -1.25384988e-17 6.06068385e+02 5.35987599e+00 5.62793257e-19 1.00418687e-01
0.00056          6.21698798e+01 -1.22398248e-17 5.96717629e+02 5.68259642e+01 -1.28005265e-17 5.96616491e+02 5.34391564e+00 5.60701735e-19 1.01138145e-01
0.00058          5.85868232e+01 -1.24977412e-17 5.87440284e+02 5.32581577e+01 -1.30566290e-17 5.87338370e+02 5.32866545e+00 5.58887822e-19 1.01913113e-01
0.0006           5.51512459e+01 -1.27521616e-17 5.78288078e+02 4.98372643e+01 -1.33063697e-17 5.78185337e+02 5.31398163e+00 5.54208102e-19 1.02740271e-01
0.00062          5.18545568e+01 -1.29988108e-17 5.69274643e+02 4.65547988e+01 -1.35503670e-17 5.69171040e+02 5.29975802e+00 5.51556145e-19 1.03603688e-01
0.00064          4.86903242e+01 -1.32389920e-17 5.60387746e+02 4.34044466e+01 -1.37878463e-17 5.60283254e+02 5.28587756e+00 5.48854250e-19 1.04491844e-01
0.00066          4.56508639e+01 -1.34731443e-17 5.51611436e+02 4.03786197e+01 -1.40202226e-17 5.51506038e+02 5.27224418e+00 5.47078279e-19 1.05398289e-01
0.00068          4.27280930e+01 -1.37059041e-17 5.42940747e+02 3.74693206e+01 -1.42509127e-17 5.42834434e+02 5.25877242e+00 5.45008534e-19 1.06313565e-01
0.0007           3.99199650e+01 -1.39344651e-17 5.34376295e+02 3.46745327e+01 -1.44797699e-17 5.34269059e+02 5.24543238e+00 5.45304787e-19 1.07236610e-01
0.00072          3.72203458e+01 -1.41635076e-17 5.25901408e+02 3.19881509e+01 -1.47071904e-17 5.25793242e+02 5.23219488e+00 5.43682814e-19 1.08166254e-01
0.00074          3.46288599e+01 -1.43894229e-17 5.17508072e+02 2.94098426e+01 -1.49334960e-17 5.17398968e+02 5.21901728e+00 5.44073122e-19 1.09103344e-01
0.00076          3.21403408e+01 -1.46182568e-17 5.09200066e+02 2.69344577e+01 -1.51613330e-17 5.09090024e+02 5.20588311e+00 5.43076209e-19 1.10041217e-01
0.00078          2.97478319e+01 -1.48418786e-17 5.00966264e+02 2.45550905e+01 -1.53886692e-17 5.00855273e+02 5.19274136e+00 5.46790613e-19 1.10990396e-01
0.0008           2.74546494e+01 -1.50680469e-17 4.92803083e+02 2.22750474e+01 -1.56176620e-17 4.92691143e+02 5.17960204e+00 5.49615076e-19 1.11939818e-01
0.00082          2.52555468e+01 -1.52955228e-17 4.84695707e+02 2.00891187e+01 -1.58451463e-17 4.84582825e+02 5.16642805e+00 5.49623558e-19 1.12882849e-01
0.00084          2.31662800e+01 -1.55170114e-17 4.76809937e+02 1.80128857e+01 -1.60701383e-17 4.76696099e+02 5.15339425e+00 5.53126972e-19 1.13838357e-01
0.00086          2.11750437e+01 -1.57391172e-17 4.69072938e+02 1.60346729e+01 -1.62935419e-17 4.68958141e+02 5.14037082e+00 5.54424654e-19 1.14797141e-01
0.00088          1.92792556e+01 -1.59578179e-17 4.61479666e+02 1.41519160e+01 -1.65152031e-17 4.61363902e+02 5.12733963e+00 5.57385195e-19 1.15763390e-01
0.0009           1.74759899e+01 -1.61741007e-17 4.54028265e+02 1.23617102e+01 -1.67341616e-17 4.53911526e+02 5.11427975e+00 5.60060881e-19 1.16739615e-01
0.00092          1.57619011e+01 -1.63866731e-17 4.46720121e+02 1.06607260e+01 -1.69495150e-17 4.46602395e+02 5.10117511e+00 5.62841899e-19 1.17725753e-01
