# Moment        
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2e-05            -7.06748881e+01 -4.52307833e+02 1.61888219e+01 -7.06693734e+01 -4.52403004e+02 1.56723129e+01 -5.51466387e-03 9.51703619e-02 5.16509017e-01
4e-05            -3.31063605e+01 -1.11296877e+02 1.38106795e+01 -3.30784529e+01 -1.11142354e+02 1.33372479e+01 -2.79075908e-02 -1.54523046e-01 4.73431609e-01
6e-05            -5.43828227e+01 -3.04761822e+02 1.50240390e+01 -5.43730211e+01 -3.04784407e+02 1.45395161e+01 -9.80160130e-03 2.25853442e-02 4.84522860e-01
8e-05            -3.85910135e+01 -1.65848087e+02 1.24166734e+01 -3.85789201e+01 -1.65834027e+02 1.19713820e+01 -1.20933809e-02 -1.40605066e-02 4.45291333e-01
0.0001           -4.66411495e+01 -2.43500627e+02 1.22912239e+01 -4.66344075e+01 -2.43537175e+02 1.18566018e+01 -6.74191715e-03 3.65480789e-02 4.34622039e-01
0.00012          -4.02428636e+01 -1.90605475e+02 1.08529242e+01 -4.02363859e+01 -1.90640833e+02 1.04404564e+01 -6.47777709e-03 3.53584302e-02 4.12467850e-01
0.00014          -4.22589261e+01 -2.10336174e+02 1.03224350e+01 -4.22540149e+01 -2.10383418e+02 9.92691457e+00 -4.91112934e-03 4.72441383e-02 3.95520482e-01
0.00016          -4.02200978e+01 -1.96903767e+02 9.51758317e+00 -4.02155796e+01 -1.96953402e+02 9.13807933e+00 -4.51829274e-03 4.96351514e-02 3.79503837e-01
0.00018          -4.01879135e+01 -1.98984964e+02 8.97557431e+00 -4.01839032e+01 -1.99037021e+02 8.61022394e+00 -4.01032814e-03 5.20564567e-02 3.65350370e-01
0.0002           -3.94165212e+01 -1.95560961e+02 8.43889640e+00 -3.94128121e+01 -1.95613713e+02 8.08502839e+00 -3.70905026e-03 5.27520428e-02 3.53868013e-01
0.00022          -3.88731954e+01 -1.93514713e+02 7.97192030e+00 -3.88696897e+01 -1.93567005e+02 7.62726638e+00 -3.50570181e-03 5.22925116e-02 3.44653926e-01
0.00024          -3.83318605e+01 -1.91442428e+02 7.54309504e+00 -3.83285092e+01 -1.91493945e+02 7.20583443e+00 -3.35138637e-03 5.15167779e-02 3.37260600e-01
0.00026          -3.77699053e+01 -1.89060666e+02 7.14110258e+00 -3.77666541e+01 -1.89111211e+02 6.80988035e+00 -3.25112357e-03 5.05447241e-02 3.31222226e-01
0.00028          -3.72260206e+01 -1.86733596e+02 6.76505511e+00 -3.72228376e+01 -1.86783059e+02 6.43897607e+00 -3.18297530e-03 4.94633932e-02 3.26079039e-01
0.0003           -3.66686392e+01 -1.84206482e+02 6.41068894e+00 -3.66654957e+01 -1.84254808e+02 6.08904835e+00 -3.14351158e-03 4.83252692e-02 3.21640589e-01
0.00032          -3.61208192e+01 -1.81572549e+02 6.07606796e+00 -3.61176936e+01 -1.81619746e+02 5.75831646e+00 -3.12564202e-03 4.71971306e-02 3.17751507e-01
0.00034          -3.55722905e+01 -1.78853854e+02 5.76105499e+00 -3.55691647e+01 -1.78899955e+02 5.44670219e+00 -3.12577317e-03 4.61011432e-02 3.14352795e-01
0.00036          -3.50345420e+01 -1.76049128e+02 5.46289431e+00 -3.50314014e+01 -1.76094202e+02 5.15154593e+00 -3.14058363e-03 4.50739583e-02 3.11348383e-01
0.00038          -3.45027221e+01 -1.73134153e+02 5.17994108e+00 -3.44995542e+01 -1.73178269e+02 4.87127985e+00 -3.16791243e-03 4.41150339e-02 3.08661230e-01
0.0004           -3.39772338e+01 -1.70114683e+02 4.91083190e+00 -3.39740266e+01 -1.70157914e+02 4.60459995e+00 -3.20714670e-03 4.32309726e-02 3.06231947e-01
0.00042          -3.34575698e+01 -1.66985384e+02 4.65427975e+00 -3.34543123e+01 -1.67027802e+02 4.35026502e+00 -3.25748714e-03 4.24175265e-02 3.04014724e-01
0.00044          -3.29434537e+01 -1.63747097e+02 4.40934375e+00 -3.29401359e+01 -1.63788769e+02 4.10736907e+00 -3.31780622e-03 4.16717045e-02 3.01974681e-01
0.00046          -3.24348166e+01 -1.60394403e+02 4.17490338e+00 -3.24314297e+01 -1.60435391e+02 3.87481931e+00 -3.38691704e-03 4.09887850e-02 3.00084068e-01
0.00048          -3.19319556e+01 -1.56927290e+02 3.95086349e+00 -3.19284918e+01 -1.56967651e+02 3.65254193e+00 -3.46373403e-03 4.03612350e-02 2.98321560e-01
0.0005           -3.14357014e+01 -1.53345298e+02 3.73659332e+00 -3.14321537e+01 -1.53385081e+02 3.43992492e+00 -3.54763391e-03 3.97827355e-02 2.96668400e-01
0.00052          -3.09551799e+01 -1.49637240e+02 3.53063899e+00 -3.09515413e+01 -1.49676456e+02 3.23555590e+00 -3.63865415e-03 3.92157206e-02 2.95083092e-01
0.00054          -3.04746321e+01 -1.45836771e+02 3.33417538e+00 -3.04708993e+01 -1.45875459e+02 3.04059432e+00 -3.73274738e-03 3.86873559e-02 2.93581058e-01
0.00056          -2.99950875e+01 -1.41915580e+02 3.14539238e+00 -2.99912574e+01 -1.41953782e+02 2.85324266e+00 -3.83012921e-03 3.82016556e-02 2.92149729e-01
0.00058          -2.95281833e+01 -1.37965494e+02 2.96509627e+00 -2.95242546e+01 -1.38003257e+02 2.67429398e+00 -3.92867345e-03 3.77627899e-02 2.90802295e-01
0.0006           -2.90681243e+01 -1.33953424e+02 2.79226560e+00 -2.90640961e+01 -1.33990790e+02 2.50274916e+00 -4.02821964e-03 3.73662857e-02 2.89516440e-01
0.00062          -2.86148278e+01 -1.29884667e+02 2.62641839e+00 -2.86106997e+01 -1.29921671e+02 2.33813459e+00 -4.12814104e-03 3.70045719e-02 2.88283793e-01
0.00064          -2.81680558e+01 -1.25768090e+02 2.46726300e+00 -2.81638284e+01 -1.25804771e+02 2.18016655e+00 -4.22740788e-03 3.66816718e-02 2.87096447e-01
0.00066          -2.77269385e+01 -1.21602922e+02 2.31436779e+00 -2.77226127e+01 -1.21639316e+02 2.02842032e+00 -4.32579023e-03 3.63940080e-02 2.85947467e-01
0.00068          -2.72912478e+01 -1.17391149e+02 2.16737963e+00 -2.72868246e+01 -1.17427284e+02 1.88254804e+00 -4.42323201e-03 3.61347155e-02 2.84831593e-01
0.0007           -2.68608828e+01 -1.13138837e+02 2.02617758e+00 -2.68563635e+01 -1.13174741e+02 1.74243283e+00 -4.51930091e-03 3.59036543e-02 2.83744756e-01
0.00072          -2.64346310e+01 -1.08850717e+02 1.89045949e+00 -2.64300169e+01 -1.08886415e+02 1.60777586e+00 -4.61413532e-03 3.56981441e-02 2.82683633e-01
0.00074          -2.60132161e+01 -1.04527937e+02 1.76012951e+00 -2.60085084e+01 -1.04563451e+02 1.47848497e+00 -4.70768511e-03 3.55136480e-02 2.81644547e-01
