# Moment        
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2e-05            -6.88049671e+01 -4.37437308e+02 1.59216729e+01 -6.87926959e+01 -4.37354632e+02 1.55100372e+01 -1.22712333e-02 -8.26762309e-02 4.11635689e-01
4e-05            -3.41248652e+01 -1.21045983e+02 1.38486608e+01 -3.41022243e+01 -1.20861972e+02 1.34376865e+01 -2.26408797e-02 -1.84010807e-01 4.10974301e-01
6e-05            -5.24900984e+01 -2.89669011e+02 1.47603018e+01 -5.24787851e+01 -2.89572182e+02 1.43716618e+01 -1.13132402e-02 -9.68287530e-02 3.88639993e-01
8e-05            -3.92925729e+01 -1.72602635e+02 1.24270116e+01 -3.92812170e+01 -1.72514414e+02 1.20478194e+01 -1.13559731e-02 -8.82208349e-02 3.79192223e-01
0.0001           -4.51142784e+01 -2.31394270e+02 1.20819896e+01 -4.51056484e+01 -2.31329442e+02 1.17198509e+01 -8.62995857e-03 -6.48279845e-02 3.62138711e-01
0.00012          -4.04960115e+01 -1.93162812e+02 1.08120075e+01 -4.04879715e+01 -1.93109640e+02 1.04610693e+01 -8.04002745e-03 -5.31726181e-02 3.50938160e-01
0.00014          -4.14131257e+01 -2.04196701e+02 1.01918464e+01 -4.14059408e+01 -2.04153320e+02 9.85453843e+00 -7.18486355e-03 -4.33801601e-02 3.37307987e-01
0.00016          -4.01035919e+01 -1.96145597e+02 9.45541173e+00 -4.00968426e+01 -1.96109438e+02 9.12957021e+00 -6.74930849e-03 -3.61587718e-02 3.25841522e-01
0.00018          -3.97446110e+01 -1.95916452e+02 8.89077497e+00 -3.97382399e+01 -1.95885488e+02 8.57550556e+00 -6.37101680e-03 -3.09638045e-02 3.15269419e-01
0.0002           -3.91336547e+01 -1.93461870e+02 8.36981359e+00 -3.91275563e+01 -1.93434028e+02 8.06319899e+00 -6.09843411e-03 -2.78420781e-02 3.06614604e-01
0.00022          -3.85965538e+01 -1.91471256e+02 7.90345483e+00 -3.85906765e+01 -1.91445356e+02 7.60360029e+00 -5.87729716e-03 -2.58998128e-02 2.99854536e-01
0.00024          -3.80601812e+01 -1.89401327e+02 7.47472301e+00 -3.80544908e+01 -1.89376866e+02 7.18015022e+00 -5.69043093e-03 -2.44614159e-02 2.94572791e-01
0.00026          -3.75246335e+01 -1.87224675e+02 7.07689363e+00 -3.75191017e+01 -1.87201495e+02 6.78645412e+00 -5.53183338e-03 -2.31806830e-02 2.90439512e-01
0.00028          -3.69898339e+01 -1.84948761e+02 6.70457892e+00 -3.69844358e+01 -1.84926694e+02 6.41751885e+00 -5.39810242e-03 -2.20665309e-02 2.87060071e-01
0.0003           -3.64499245e+01 -1.82503920e+02 6.35385531e+00 -3.64446393e+01 -1.82482860e+02 6.06960145e+00 -5.28522184e-03 -2.10600741e-02 2.84253861e-01
0.00032          -3.59049704e+01 -1.79922297e+02 6.02282998e+00 -3.58997803e+01 -1.79902127e+02 5.74099049e+00 -5.19009491e-03 -2.01702467e-02 2.81839485e-01
0.00034          -3.53667498e+01 -1.77244039e+02 5.70984210e+00 -3.53616376e+01 -1.77224697e+02 5.43004230e+00 -5.11219290e-03 -1.93413417e-02 2.79799801e-01
0.00036          -3.48339927e+01 -1.74468069e+02 5.41334875e+00 -3.48289436e+01 -1.74449515e+02 5.13531436e+00 -5.04913491e-03 -1.85540678e-02 2.78034385e-01
0.00038          -3.43072874e+01 -1.71584588e+02 5.13181466e+00 -3.43022872e+01 -1.71566796e+02 4.85533209e+00 -5.00011327e-03 -1.77921642e-02 2.76482575e-01
0.0004           -3.37863655e+01 -1.68595132e+02 4.86402417e+00 -3.37814009e+01 -1.68578086e+02 4.58892727e+00 -4.96469440e-03 -1.70459565e-02 2.75096896e-01
0.00042          -3.32709579e+01 -1.65497056e+02 4.60875834e+00 -3.32660157e+01 -1.65480746e+02 4.33491484e+00 -4.94222119e-03 -1.63105062e-02 2.73843499e-01
0.00044          -3.27607288e+01 -1.62287445e+02 4.36506989e+00 -3.27557969e+01 -1.62271859e+02 4.09237281e+00 -4.93189952e-03 -1.55854527e-02 2.72697082e-01
0.00046          -3.22560121e+01 -1.58964718e+02 4.13184304e+00 -3.22510795e+01 -1.58949847e+02 3.86020445e+00 -4.93256678e-03 -1.48708934e-02 2.71638590e-01
0.00048          -3.17567667e+01 -1.55526969e+02 3.90899085e+00 -3.17518238e+01 -1.55512799e+02 3.63833693e+00 -4.94290220e-03 -1.41704483e-02 2.70653920e-01
0.0005           -3.12638859e+01 -1.51970346e+02 3.69584027e+00 -3.12589238e+01 -1.51956856e+02 3.42610929e+00 -4.96209223e-03 -1.34900252e-02 2.69730988e-01
0.00052          -3.07861149e+01 -1.48288437e+02 3.49105000e+00 -3.07811253e+01 -1.48275595e+02 3.22221123e+00 -4.98961978e-03 -1.28425327e-02 2.68838777e-01
0.00054          -3.03084402e+01 -1.44511977e+02 3.29571483e+00 -3.03034192e+01 -1.44499775e+02 3.02772103e+00 -5.02093434e-03 -1.22026988e-02 2.67993800e-01
0.00056          -2.98358814e+01 -1.40652256e+02 3.10849399e+00 -2.98308245e+01 -1.40640691e+02 2.84129821e+00 -5.05690724e-03 -1.15644411e-02 2.67195782e-01
0.00058          -2.93720142e+01 -1.36731270e+02 2.92934116e+00 -2.93669185e+01 -1.36720335e+02 2.66290789e+00 -5.09565564e-03 -1.09354349e-02 2.66433273e-01
0.0006           -2.89144039e+01 -1.32742854e+02 2.75756230e+00 -2.89092669e+01 -1.32732541e+02 2.49186321e+00 -5.13701355e-03 -1.03128766e-02 2.65699082e-01
0.00062          -2.84637322e+01 -1.28699476e+02 2.59272784e+00 -2.84585520e+01 -1.28689776e+02 2.32773994e+00 -5.18018441e-03 -9.70010232e-03 2.64987901e-01
0.00064          -2.80193873e+01 -1.24605501e+02 2.43451621e+00 -2.80141627e+01 -1.24596403e+02 2.17022233e+00 -5.22459218e-03 -9.09813485e-03 2.64293878e-01
0.00066          -2.75805718e+01 -1.20465204e+02 2.28254319e+00 -2.75753019e+01 -1.20456697e+02 2.01893099e+00 -5.26991447e-03 -8.50678355e-03 2.63612209e-01
0.00068          -2.71470374e+01 -1.16278366e+02 2.13640465e+00 -2.71417217e+01 -1.16270436e+02 1.87346603e+00 -5.31567823e-03 -7.92974135e-03 2.62938621e-01
0.0007           -2.67188148e+01 -1.12051982e+02 1.99599825e+00 -2.67134529e+01 -1.12044616e+02 1.73372663e+00 -5.36183050e-03 -7.36633697e-03 2.62271619e-01
0.00072          -2.62950704e+01 -1.07789684e+02 1.86101729e+00 -2.62896621e+01 -1.07782867e+02 1.59940754e+00 -5.40831271e-03 -6.81741239e-03 2.61609744e-01
0.00074          -2.58754036e+01 -1.03498138e+02 1.73144300e+00 -2.58699484e+01 -1.03491856e+02 1.47049213e+00 -5.45516720e-03 -6.28227492e-03 2.60950864e-01
0.00076          -2.54600033e+01 -9.91784944e+01 1.60701704e+00 -2.54545012e+01 -9.91727320e+01 1.34672288e+00 -5.50206087e-03 -5.76239461e-03 2.60294155e-01
0.00078          -2.50483132e+01 -9.48387237e+01 1.48739159e+00 -2.50427637e+01 -9.48334694e+01 1.22775453e+00 -5.54951982e-03 -5.25425717e-03 2.59637068e-01
