# y+ ()         
# Time          	patch           	min             	max             	average         
0               	upper	6.31519343e+01	7.34124429e+01	6.99977075e+01
0               	lower	7.28031049e+01	8.27155467e+01	7.95637147e+01
0.001           	upper	4.03565834e+01	6.97703913e+01	5.53169853e+01
0.001           	lower	5.84100177e+00	6.54579061e+01	5.96429949e+01
0.002           	upper	3.85958774e+01	7.74280938e+01	5.26308906e+01
0.002           	lower	7.74343315e+00	6.43554373e+01	5.60617326e+01
0.003           	upper	3.25657801e+01	7.99069377e+01	5.09915001e+01
0.003           	lower	8.30251488e+00	6.53427295e+01	5.38041645e+01
0.004           	upper	2.74585880e+01	8.07901413e+01	5.00750810e+01
0.004           	lower	8.48196271e+00	6.68023529e+01	5.25646738e+01
0.005           	upper	2.13647107e+01	8.17798152e+01	4.98320951e+01
0.005           	lower	5.81416546e+00	6.89097635e+01	5.17760853e+01
0.006           	upper	1.74023466e+01	8.28751230e+01	5.00040254e+01
0.006           	lower	4.04662471e+00	7.09762726e+01	5.13646277e+01
0.007           	upper	1.59614257e+01	8.37705197e+01	5.02465688e+01
0.007           	lower	6.11105614e+00	7.27720865e+01	5.11340402e+01
0.008           	upper	1.59339857e+01	8.45767035e+01	5.04636157e+01
0.008           	lower	8.11056895e+00	7.43865601e+01	5.09455214e+01
0.009           	upper	1.62521804e+01	8.53016319e+01	5.06449150e+01
0.009           	lower	7.62106599e+00	7.58283014e+01	5.07756074e+01
0.01            	upper	1.64623601e+01	8.59102225e+01	5.07895200e+01
0.01            	lower	5.93560290e+00	7.70920003e+01	5.06176158e+01
0.011           	upper	1.65313197e+01	8.64490311e+01	5.09240015e+01
0.011           	lower	4.32536496e+00	7.81905261e+01	5.04722198e+01
0.012           	upper	1.65035331e+01	8.70279274e+01	5.10348244e+01
0.012           	lower	3.77496189e+00	7.93256548e+01	5.03626471e+01
0.013           	upper	1.65680362e+01	8.75107263e+01	5.10958498e+01
0.013           	lower	5.00739316e+00	8.03348402e+01	5.02520064e+01
0.014           	upper	1.65887721e+01	8.79276353e+01	5.11828355e+01
0.014           	lower	6.17484446e+00	8.11870071e+01	5.01592152e+01
0.015           	upper	1.65820952e+01	8.83650758e+01	5.12374336e+01
0.015           	lower	7.30534401e+00	8.20714212e+01	5.00747309e+01
0.016           	upper	1.65737067e+01	8.87268380e+01	5.13011410e+01
0.016           	lower	8.24442534e+00	8.28355834e+01	4.99933877e+01
0.017           	upper	1.65454966e+01	8.90950926e+01	5.13582143e+01
0.017           	lower	7.31416420e+00	8.35783798e+01	4.99242838e+01
0.018           	upper	1.65509509e+01	8.94228281e+01	5.14028012e+01
0.018           	lower	6.42960611e+00	8.42268839e+01	4.98489729e+01
0.019           	upper	1.65191361e+01	8.97715945e+01	5.14451396e+01
0.019           	lower	5.54890723e+00	8.48435419e+01	4.97859279e+01
0.02            	upper	1.64945834e+01	9.00997085e+01	5.14792929e+01
0.02            	lower	4.65395907e+00	8.54298936e+01	4.97241476e+01
