# Force         
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2e-05            1.66235361e+02 2.73565793e-18 2.91975572e+02 1.48914433e+02 2.72879409e-18 2.91435679e+02 1.73209286e+01 6.86383972e-21 5.39892478e-01
4e-05            2.04111602e+02 2.82129065e-18 2.83276995e+02 1.87300253e+02 2.82124111e-18 2.82961727e+02 1.68113493e+01 4.95397561e-23 3.15267694e-01
6e-05            2.06144437e+02 2.81148465e-18 2.67595408e+02 1.89958158e+02 2.82083929e-18 2.67363706e+02 1.61862788e+01 -9.35463692e-21 2.31701662e-01
8e-05            2.02507796e+02 2.80367143e-18 2.61309301e+02 1.86882108e+02 2.81879501e-18 2.61114283e+02 1.56256877e+01 -1.51235785e-20 1.95017493e-01
0.0001           1.99481382e+02 2.79602119e-18 2.61269019e+02 1.84416806e+02 2.81720687e-18 2.61100322e+02 1.50645755e+01 -2.11856815e-20 1.68696953e-01
0.00012          1.97979328e+02 2.79877515e-18 2.60825831e+02 1.83435422e+02 2.82084899e-18 2.60676722e+02 1.45439065e+01 -2.20738397e-20 1.49109024e-01
0.00014          1.97164475e+02 2.80379750e-18 2.60613084e+02 1.83119885e+02 2.82636284e-18 2.60479822e+02 1.40445903e+01 -2.25653358e-20 1.33262919e-01
0.00016          1.96320166e+02 2.81006918e-18 2.60294385e+02 1.82749630e+02 2.83303473e-18 2.60173436e+02 1.35705356e+01 -2.29655539e-20 1.20949848e-01
0.00018          1.95367346e+02 2.81637981e-18 2.60014016e+02 1.82248034e+02 2.83971356e-18 2.59902822e+02 1.31193122e+01 -2.33337472e-20 1.11194056e-01
0.0002           1.94372319e+02 2.82210874e-18 2.59751924e+02 1.81680997e+02 2.84574104e-18 2.59648808e+02 1.26913222e+01 -2.36323020e-20 1.03116829e-01
0.00022          1.93361185e+02 2.82807520e-18 2.59525215e+02 1.81076460e+02 2.85206738e-18 2.59428746e+02 1.22847247e+01 -2.39921813e-20 9.64693059e-02
0.00024          1.92319933e+02 2.83270903e-18 2.59290914e+02 1.80421308e+02 2.85691012e-18 2.59200116e+02 1.18986245e+01 -2.42010935e-20 9.07979956e-02
0.00026          1.91255113e+02 2.83598667e-18 2.59040541e+02 1.79723123e+02 2.86043033e-18 2.58954571e+02 1.15319903e+01 -2.44436587e-20 8.59693116e-02
0.00028          1.90177414e+02 2.83859655e-18 2.58785621e+02 1.78993248e+02 2.86332576e-18 2.58703692e+02 1.11841663e+01 -2.47292146e-20 8.19287057e-02
0.0003           1.89087829e+02 2.84111293e-18 2.58525493e+02 1.78232374e+02 2.86621696e-18 2.58446851e+02 1.08554551e+01 -2.51040255e-20 7.86417518e-02
0.00032          1.87991131e+02 2.84270766e-18 2.58267224e+02 1.77442722e+02 2.86802392e-18 2.58191053e+02 1.05484088e+01 -2.53162572e-20 7.61709160e-02
0.00034          1.86889909e+02 2.84352105e-18 2.58013092e+02 1.76621014e+02 2.86908508e-18 2.57938395e+02 1.02688950e+01 -2.55640294e-20 7.46972562e-02
0.00036          1.85790100e+02 2.84411390e-18 2.57767008e+02 1.75764448e+02 2.86990983e-18 2.57692707e+02 1.00256512e+01 -2.57959276e-20 7.43010984e-02
0.00038          1.84704027e+02 2.84494201e-18 2.57519261e+02 1.74877365e+02 2.87082442e-18 2.57444642e+02 9.82666205e+00 -2.58824158e-20 7.46187489e-02
0.0004           1.83645404e+02 2.84594850e-18 2.57256969e+02 1.73970682e+02 2.87223145e-18 2.57182115e+02 9.67472180e+00 -2.62829481e-20 7.48535461e-02
0.00042          1.82614005e+02 2.84838064e-18 2.56967506e+02 1.73049194e+02 2.87438690e-18 2.56893234e+02 9.56481139e+00 -2.60062648e-20 7.42726675e-02
0.00044          1.81605078e+02 2.85150432e-18 2.56647689e+02 1.72118729e+02 2.87732624e-18 2.56574914e+02 9.48634923e+00 -2.58219221e-20 7.27743027e-02
0.00046          1.80611055e+02 2.85447879e-18 2.56311850e+02 1.71181487e+02 2.88025620e-18 2.56241031e+02 9.42956807e+00 -2.57774133e-20 7.08186369e-02
0.00048          1.79621688e+02 2.85630512e-18 2.55972385e+02 1.70233901e+02 2.88216422e-18 2.55903443e+02 9.38778691e+00 -2.58590985e-20 6.89426632e-02
0.0005           1.78630040e+02 2.85739789e-18 2.55630190e+02 1.69273078e+02 2.88321265e-18 2.55562925e+02 9.35696217e+00 -2.58147527e-20 6.72645100e-02
0.00052          1.77632557e+02 2.85732027e-18 2.55279759e+02 1.68298754e+02 2.88315164e-18 2.55213995e+02 9.33380352e+00 -2.58313758e-20 6.57641033e-02
0.00054          1.76620586e+02 2.85681672e-18 2.54920561e+02 1.67305322e+02 2.88265853e-18 2.54856185e+02 9.31526345e+00 -2.58418146e-20 6.43760557e-02
0.00056          1.75589730e+02 2.85433946e-18 2.54556422e+02 1.66290944e+02 2.88019145e-18 2.54493386e+02 9.29878620e+00 -2.58519912e-20 6.30359756e-02
0.00058          1.74540604e+02 2.85089263e-18 2.54189030e+02 1.65258018e+02 2.87674225e-18 2.54127292e+02 9.28258622e+00 -2.58496172e-20 6.17378647e-02
0.0006           1.73474569e+02 2.84628219e-18 2.53815545e+02 1.64209028e+02 2.87227040e-18 2.53755047e+02 9.26554107e+00 -2.59882042e-20 6.04982443e-02
0.00062          1.72387827e+02 2.84171991e-18 2.53448677e+02 1.63140776e+02 2.86766041e-18 2.53389301e+02 9.24705102e+00 -2.59405053e-20 5.93754606e-02
0.00064          1.71278044e+02 2.83790814e-18 2.53060872e+02 1.62051041e+02 2.86383759e-18 2.53002476e+02 9.22700247e+00 -2.59294451e-20 5.83965241e-02
0.00066          1.70142358e+02 2.83289138e-18 2.52680544e+02 1.60936767e+02 2.85966083e-18 2.52622942e+02 9.20559054e+00 -2.67694509e-20 5.76015479e-02
0.00068          1.68963873e+02 2.82955024e-18 2.52300730e+02 1.59780638e+02 2.85597269e-18 2.52243786e+02 9.18323504e+00 -2.64224482e-20 5.69444532e-02
0.0007           1.67784847e+02 2.82602067e-18 2.51907886e+02 1.58624552e+02 2.85265676e-18 2.51851479e+02 9.16029469e+00 -2.66360873e-20 5.64065406e-02
0.00072          1.66552227e+02 2.82274973e-18 2.51519781e+02 1.57415052e+02 2.84945343e-18 2.51463811e+02 9.13717516e+00 -2.67036996e-20 5.59697804e-02
0.00074          1.65242801e+02 2.81930600e-18 2.51134016e+02 1.56128599e+02 2.84600324e-18 2.51078403e+02 9.11420172e+00 -2.66972389e-20 5.56126764e-02
0.00076          1.63826462e+02 2.81588165e-18 2.50752013e+02 1.54734782e+02 2.84263873e-18 2.50696713e+02 9.09167965e+00 -2.67570787e-20 5.53002591e-02
0.00078          1.62406161e+02 2.81239977e-18 2.50371902e+02 1.53336395e+02 2.83923107e-18 2.50316871e+02 9.06976595e+00 -2.68313061e-20 5.50311693e-02
0.0008           1.61013377e+02 2.80901967e-18 2.49992674e+02 1.51964828e+02 2.83577313e-18 2.49937870e+02 9.04854869e+00 -2.67534546e-20 5.48035513e-02
0.00082          1.59651042e+02 2.80541873e-18 2.49613343e+02 1.50622978e+02 2.83230714e-18 2.49558735e+02 9.02806440e+00 -2.68884090e-20 5.46082008e-02
0.00084          1.58317975e+02 2.80195111e-18 2.49234517e+02 1.49309668e+02 2.82880982e-18 2.49180081e+02 9.00830697e+00 -2.68587188e-20 5.44352192e-02
0.00086          1.57011589e+02 2.79842545e-18 2.48856931e+02 1.48022350e+02 2.82527027e-18 2.48802652e+02 8.98923969e+00 -2.68448144e-20 5.42797052e-02
0.00088          1.55729304e+02 2.79467841e-18 2.48482392e+02 1.46758486e+02 2.82168949e-18 2.48428257e+02 8.97081890e+00 -2.70110752e-20 5.41348875e-02
0.0009           1.54471545e+02 2.79111444e-18 2.48111573e+02 1.45518545e+02 2.81812042e-18 2.48057574e+02 8.95300050e+00 -2.70059803e-20 5.39990620e-02
0.00092          1.53237970e+02 2.78722857e-18 2.47745117e+02 1.44302171e+02 2.81460755e-18 2.47691239e+02 8.93579933e+00 -2.73789809e-20 5.38778838e-02
0.00094          1.52028486e+02 2.78407801e-18 2.47384219e+02 1.43109272e+02 2.81121284e-18 2.47330456e+02 8.91921338e+00 -2.71348303e-20 5.37630994e-02
0.00096          1.50842891e+02 2.78071742e-18 2.47027412e+02 1.41939723e+02 2.80799099e-18 2.46973753e+02 8.90316813e+00 -2.72735739e-20 5.36592751e-02
0.00098          1.49680456e+02 2.77768712e-18 2.46674396e+02 1.40792818e+02 2.80494555e-18 2.46620830e+02 8.88763772e+00 -2.72584309e-20 5.35660189e-02
0.001            1.48540760e+02 2.77480687e-18 2.46324520e+02 1.39668161e+02 2.80207059e-18 2.46271038e+02 8.87259897e+00 -2.72637254e-20 5.34814282e-02
0.00102          1.47425375e+02 2.77235413e-18 2.45976929e+02 1.38567346e+02 2.79940052e-18 2.45923528e+02 8.85802905e+00 -2.70463984e-20 5.34012335e-02
0.00104          1.46334391e+02 2.76975241e-18 2.45629114e+02 1.37490489e+02 2.79694405e-18 2.45575784e+02 8.84390147e+00 -2.71916407e-20 5.33302847e-02
0.00106          1.45268010e+02 2.76748329e-18 2.45280301e+02 1.36437824e+02 2.79467647e-18 2.45227032e+02 8.83018576e+00 -2.71931755e-20 5.32689817e-02
0.00108          1.44224174e+02 2.76528785e-18 2.44929387e+02 1.35407325e+02 2.79259708e-18 2.44876170e+02 8.81684866e+00 -2.73092232e-20 5.32171675e-02
0.0011           1.43199410e+02 2.76327187e-18 2.44575025e+02 1.34395553e+02 2.79069148e-18 2.44521846e+02 8.80385692e+00 -2.74196119e-20 5.31784291e-02
0.00112          1.42190724e+02 2.76156133e-18 2.44216803e+02 1.33399543e+02 2.78894136e-18 2.44163656e+02 8.79118074e+00 -2.73800321e-20 5.31467707e-02
0.00114          1.41195865e+02 2.75980178e-18 2.43853596e+02 1.32417072e+02 2.78732668e-18 2.43800473e+02 8.77879236e+00 -2.75249010e-20 5.31231701e-02
0.00116          1.40211610e+02 2.75833795e-18 2.43485638e+02 1.31444941e+02 2.78580342e-18 2.43432531e+02 8.76666850e+00 -2.74654763e-20 5.31074073e-02
0.00118          1.39235490e+02 2.75675693e-18 2.43113134e+02 1.30480701e+02 2.78434172e-18 2.43060035e+02 8.75478854e+00 -2.75847983e-20 5.30994241e-02
0.0012           1.38266814e+02 2.75526815e-18 2.42736738e+02 1.29523678e+02 2.78291357e-18 2.42683639e+02 8.74313603e+00 -2.76454159e-20 5.30988465e-02
0.00122          1.37306443e+02 2.75329928e-18 2.42357005e+02 1.28574712e+02 2.78149262e-18 2.42303896e+02 8.73173069e+00 -2.81933399e-20 5.31093920e-02
0.00124          1.36356304e+02 2.75249624e-18 2.41975766e+02 1.27635722e+02 2.78006580e-18 2.41922642e+02 8.72058220e+00 -2.75695565e-20 5.31237146e-02
0.00126          1.35417340e+02 2.75099707e-18 2.41593140e+02 1.26707699e+02 2.77859168e-18 2.41539995e+02 8.70964086e+00 -2.75946041e-20 5.31444001e-02
0.00128          1.34490743e+02 2.74943040e-18 2.41210950e+02 1.25791847e+02 2.77706878e-18 2.41157780e+02 8.69889598e+00 -2.76383847e-20 5.31703022e-02
0.0013           1.33576807e+02 2.74782749e-18 2.40830457e+02 1.24888470e+02 2.77551180e-18 2.40777256e+02 8.68833686e+00 -2.76843099e-20 5.32007686e-02
0.00132          1.32676245e+02 2.74617590e-18 2.40452438e+02 1.23998291e+02 2.77391172e-18 2.40399203e+02 8.67795430e+00 -2.77358202e-20 5.32347077e-02
0.00134          1.31788501e+02 2.74451004e-18 2.40077245e+02 1.23120762e+02 2.77227597e-18 2.40023973e+02 8.66773848e+00 -2.77659262e-20 5.32717839e-02
0.00136          1.30913260e+02 2.74266734e-18 2.39704993e+02 1.22255579e+02 2.77060018e-18 2.39651680e+02 8.65768064e+00 -2.79328359e-20 5.33132363e-02
0.00138          1.30049038e+02 2.74095011e-18 2.39335281e+02 1.21401268e+02 2.76889092e-18 2.39281923e+02 8.64777010e+00 -2.79408097e-20 5.33575749e-02
0.0014           1.29195454e+02 2.73928322e-18 2.38967606e+02 1.20557457e+02 2.76715253e-18 2.38914200e+02 8.63799793e+00 -2.78693145e-20 5.34054357e-02
0.00142          1.28352223e+02 2.73741724e-18 2.38601481e+02 1.19723866e+02 2.76539028e-18 2.38548023e+02 8.62835653e+00 -2.79730356e-20 5.34575118e-02
0.00144          1.27519288e+02 2.73554117e-18 2.38236830e+02 1.18900448e+02 2.76360867e-18 2.38183316e+02 8.61884035e+00 -2.80675023e-20 5.35142700e-02
0.00146          1.26696530e+02 2.73380208e-18 2.37873463e+02 1.18087087e+02 2.76181743e-18 2.37819886e+02 8.60944284e+00 -2.80153523e-20 5.35763145e-02
0.00148          1.25882860e+02 2.73211377e-18 2.37511349e+02 1.17282701e+02 2.76003147e-18 2.37457706e+02 8.60015882e+00 -2.79177037e-20 5.36436134e-02
0.0015           1.25079094e+02 2.73030122e-18 2.37150177e+02 1.16488109e+02 2.75824956e-18 2.37096461e+02 8.59098563e+00 -2.79483395e-20 5.37160075e-02
0.00152          1.24285831e+02 2.72841177e-18 2.36789743e+02 1.15703912e+02 2.75649705e-18 2.36735949e+02 8.58191935e+00 -2.80852870e-20 5.37936646e-02
0.00154          1.23501915e+02 2.72668150e-18 2.36429739e+02 1.14928958e+02 2.75475232e-18 2.36375862e+02 8.57295738e+00 -2.80708206e-20 5.38767854e-02
0.00156          1.22727622e+02 2.72479523e-18 2.36070616e+02 1.14163512e+02 2.75305651e-18 2.36016649e+02 8.56410925e+00 -2.82612780e-20 5.39665388e-02
0.00158          1.21962849e+02 2.72328716e-18 2.35713352e+02 1.13407456e+02 2.75142499e-18 2.35659292e+02 8.55539310e+00 -2.81378337e-20 5.40598710e-02
0.0016           1.21206955e+02 2.72179037e-18 2.35356962e+02 1.12660180e+02 2.74986944e-18 2.35302804e+02 8.54677536e+00 -2.80790737e-20 5.41573247e-02
0.00162          1.20459546e+02 2.72008917e-18 2.35001288e+02 1.11921295e+02 2.74840763e-18 2.34947029e+02 8.53825088e+00 -2.83184590e-20 5.42589436e-02
0.00164          1.19720467e+02 2.71876555e-18 2.34646381e+02 1.11190652e+02 2.74703456e-18 2.34592016e+02 8.52981429e+00 -2.82690092e-20 5.43648189e-02
0.00166          1.18989713e+02 2.71743037e-18 2.34292350e+02 1.10468251e+02 2.74578082e-18 2.34237875e+02 8.52146221e+00 -2.83504548e-20 5.44744546e-02
0.00168          1.18267290e+02 2.71620459e-18 2.33939025e+02 1.09754099e+02 2.74464969e-18 2.33884437e+02 8.51319092e+00 -2.84451063e-20 5.45877663e-02
0.0017           1.17553102e+02 2.71530044e-18 2.33586408e+02 1.09048105e+02 2.74365286e-18 2.33531704e+02 8.50499752e+00 -2.83524204e-20 5.47044982e-02
0.00172          1.16847081e+02 2.71436542e-18 2.33234272e+02 1.08350202e+02 2.74280314e-18 2.33179447e+02 8.49687853e+00 -2.84377193e-20 5.48248226e-02
0.00174          1.16149453e+02 2.71379728e-18 2.32882752e+02 1.07660621e+02 2.74209988e-18 2.32827804e+02 8.48883203e+00 -2.83025988e-20 5.49485518e-02
0.00176          1.15460086e+02 2.71325148e-18 2.32531840e+02 1.06979231e+02 2.74156394e-18 2.32476765e+02 8.48085551e+00 -2.83124587e-20 5.50753695e-02
0.00178          1.14777315e+02 2.71278875e-18 2.32181464e+02 1.06304370e+02 2.74116696e-18 2.32126259e+02 8.47294446e+00 -2.83782178e-20 5.52044110e-02
0.0018           1.14103769e+02 2.71251350e-18 2.31831786e+02 1.05638656e+02 2.74099269e-18 2.31776450e+02 8.46511340e+00 -2.84791949e-20 5.53358055e-02
0.00182          1.13438795e+02 2.71241957e-18 2.31482402e+02 1.04981445e+02 2.74102339e-18 2.31426930e+02 8.45735032e+00 -2.86038263e-20 5.54727651e-02
0.00184          1.12780773e+02 2.71255757e-18 2.31133779e+02 1.04331123e+02 2.74124707e-18 2.31078167e+02 8.44965028e+00 -2.86894974e-20 5.56116458e-02
0.00186          1.12129666e+02 2.71296678e-18 2.30785976e+02 1.03687658e+02 2.74165645e-18 2.30730226e+02 8.44200826e+00 -2.86896719e-20 5.57501729e-02
0.00188          1.11487169e+02 2.71365526e-18 2.30438779e+02 1.03052739e+02 2.74224433e-18 2.30382888e+02 8.43442986e+00 -2.85890655e-20 5.58904114e-02
