# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.22360000e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2e-05           	1.72247059e-01	7.00111904e-02	1.02235868e-01	3.22246779e-01	7.00226433e-02	2.52224136e-01	-9.11007463e-02	-1.61123390e-02	8.61235294e-03	2.57336610e-21	8.61235294e-03	-8.61235294e-03
4e-05           	2.07303224e-01	8.89919510e-02	1.18311273e-01	2.93193216e-01	7.62913376e-02	2.16901879e-01	-7.03052706e-02	-1.46596608e-02	1.03651612e-02	2.99767030e-21	1.03651612e-02	-1.03651612e-02
6e-05           	2.07427202e-01	8.98083302e-02	1.17618872e-01	2.78105413e-01	7.63655824e-02	2.01739830e-01	-6.26871240e-02	-1.39052706e-02	1.03713601e-02	2.73649645e-21	1.03713601e-02	-1.03713601e-02
8e-05           	2.01098024e-01	8.71086594e-02	1.13989365e-01	2.68807058e-01	7.48049676e-02	1.94002090e-01	-5.95985612e-02	-1.34403529e-02	1.00549012e-02	2.49203027e-21	1.00549012e-02	-1.00549012e-02
0.0001          	1.95489939e-01	8.42790467e-02	1.11210893e-01	2.69318458e-01	7.42658974e-02	1.95052561e-01	-6.03933318e-02	-1.34659229e-02	9.77449696e-03	2.27227994e-21	9.77449696e-03	-9.77449696e-03
0.00012         	1.90486802e-01	8.18752252e-02	1.08611577e-01	2.67363515e-01	7.39613417e-02	1.93402173e-01	-5.97204158e-02	-1.33681758e-02	9.52434010e-03	2.08559106e-21	9.52434010e-03	-9.52434010e-03
0.00014         	1.85685169e-01	7.95427061e-02	1.06142463e-01	2.65997568e-01	7.35933877e-02	1.92404180e-01	-5.94053962e-02	-1.32998784e-02	9.28425845e-03	1.94528029e-21	9.28425845e-03	-9.28425845e-03
0.00016         	1.80518562e-01	7.70415764e-02	1.03476986e-01	2.64354092e-01	7.31455696e-02	1.91208522e-01	-5.90314763e-02	-1.32177046e-02	9.02592810e-03	1.82413400e-21	9.02592810e-03	-9.02592810e-03
0.00018         	1.74966196e-01	7.43422920e-02	1.00623904e-01	2.62816122e-01	7.26276786e-02	1.90188443e-01	-5.87803824e-02	-1.31408061e-02	8.74830981e-03	1.72313938e-21	8.74830981e-03	-8.74830981e-03
0.0002          	1.69567957e-01	7.17186468e-02	9.78493100e-02	2.61306632e-01	7.21360898e-02	1.89170542e-01	-5.85172263e-02	-1.30653316e-02	8.47839784e-03	1.62683634e-21	8.47839784e-03	-8.47839784e-03
0.00022         	1.64544735e-01	6.92755914e-02	9.52691438e-02	2.59935524e-01	7.17485323e-02	1.88186992e-01	-5.82192297e-02	-1.29967762e-02	8.22723676e-03	1.52343778e-21	8.22723676e-03	-8.22723676e-03
0.00024         	1.59838944e-01	6.69956859e-02	9.28432577e-02	2.58475718e-01	7.13397436e-02	1.87135974e-01	-5.78981153e-02	-1.29237859e-02	7.99194718e-03	1.42221684e-21	7.99194718e-03	-7.99194718e-03
0.00026         	1.55297115e-01	6.47966028e-02	9.05005126e-02	2.57039098e-01	7.09435432e-02	1.86095555e-01	-5.75760057e-02	-1.28519549e-02	7.76485577e-03	1.32291486e-21	7.76485577e-03	-7.76485577e-03
0.00028         	1.51019462e-01	6.27329547e-02	8.82865077e-02	2.55535530e-01	7.05278212e-02	1.85007709e-01	-5.72399438e-02	-1.27767765e-02	7.55097312e-03	1.22190040e-21	7.55097312e-03	-7.55097312e-03
0.0003          	1.47335689e-01	6.09650868e-02	8.63706021e-02	2.54055153e-01	7.01488678e-02	1.83906285e-01	-5.68787085e-02	-1.27027576e-02	7.36678444e-03	1.12816891e-21	7.36678444e-03	-7.36678444e-03
