# Force         
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2e-05            1.65647449e+02 1.82625852e-18 3.09899961e+02 1.53724503e+02 1.77730579e-18 3.09550707e+02 1.19229454e+01 4.89527285e-20 3.49254147e-01
4e-05            1.99360444e+02 2.23430559e-18 2.81959579e+02 1.87619362e+02 2.20357985e-18 2.81764709e+02 1.17410821e+01 3.07257400e-20 1.94870016e-01
6e-05            1.99479672e+02 1.98313856e-18 2.67449862e+02 1.88048616e+02 1.97405129e-18 2.67305600e+02 1.14310554e+01 9.08727068e-21 1.44261816e-01
8e-05            1.93392996e+02 1.74803905e-18 2.58507771e+02 1.82210965e+02 1.73282392e-18 2.58378004e+02 1.11820309e+01 1.52151277e-20 1.29767455e-01
0.0001           1.87999783e+02 1.53670840e-18 2.58999578e+02 1.77081854e+02 1.52178913e-18 2.58883598e+02 1.09179290e+01 1.49192701e-20 1.15979742e-01
0.00012          1.83188340e+02 1.35717247e-18 2.57119538e+02 1.72507781e+02 1.34131842e-18 2.57014422e+02 1.06805589e+01 1.58540527e-20 1.05116270e-01
0.00014          1.78570681e+02 1.22223769e-18 2.55805926e+02 1.68127851e+02 1.20697498e-18 2.55709114e+02 1.04428296e+01 1.52627016e-20 9.68128718e-02
0.00016          1.73602031e+02 1.10573309e-18 2.54225420e+02 1.63388701e+02 1.09073535e-18 2.54134463e+02 1.02133302e+01 1.49977435e-20 9.09571930e-02
0.00018          1.68262403e+02 1.00860806e-18 2.52746377e+02 1.58273112e+02 9.93406420e-19 2.52659850e+02 9.98929126e+00 1.52016361e-20 8.65267130e-02
0.0002           1.63070996e+02 9.15994845e-19 2.51294723e+02 1.53298877e+02 9.00418081e-19 2.51211837e+02 9.77211891e+00 1.55767637e-20 8.28854977e-02
0.00022          1.58240238e+02 8.16557983e-19 2.49976149e+02 1.48677996e+02 8.00476671e-19 2.49896426e+02 9.56224181e+00 1.60813123e-20 7.97227808e-02
