# y+ ()         
# Time          	patch           	min             	max             	average         
0               	upperSurface	9.16673206e+01	9.36731340e+01	9.29592208e+01
0               	lowerSurface	9.16673206e+01	9.36731340e+01	9.29592208e+01
0.01            	upperSurface	3.60849301e+01	1.33463275e+02	9.16549329e+01
0.01            	lowerSurface	1.99696907e+01	1.18255896e+02	1.03151555e+02
0.02            	upperSurface	1.37404278e+01	1.36023824e+02	8.47096335e+01
0.02            	lowerSurface	1.57828970e+01	1.16888032e+02	1.03563370e+02
0.03            	upperSurface	1.41365229e+01	1.37888044e+02	8.37391838e+01
0.03            	lowerSurface	1.81985351e+01	1.16202307e+02	1.03475853e+02
0.04            	upperSurface	1.10104191e+01	1.38484525e+02	8.20957264e+01
0.04            	lowerSurface	2.05060003e+01	1.15901582e+02	1.03447182e+02
0.05            	upperSurface	5.67725431e+00	1.38800664e+02	8.00559286e+01
0.05            	lowerSurface	1.98475441e+01	1.15700617e+02	1.03456142e+02
0.06            	upperSurface	2.58706019e+00	1.39068584e+02	7.85883209e+01
0.06            	lowerSurface	1.87238530e+01	1.15578378e+02	1.03456268e+02
0.07            	upperSurface	3.87228765e+00	1.39271964e+02	7.76555560e+01
0.07            	lowerSurface	1.81177310e+01	1.15579743e+02	1.03470118e+02
0.08            	upperSurface	3.06931894e+00	1.39418260e+02	7.74771175e+01
0.08            	lowerSurface	1.76641285e+01	1.15592645e+02	1.03460513e+02
0.09            	upperSurface	1.91496648e+00	1.39535351e+02	7.70468435e+01
0.09            	lowerSurface	1.73966566e+01	1.15626685e+02	1.03481590e+02
0.1             	upperSurface	3.11017775e+00	1.39589646e+02	7.63875541e+01
0.1             	lowerSurface	1.72118846e+01	1.15633999e+02	1.03492438e+02
0.11            	upperSurface	3.28391234e+00	1.39621424e+02	7.61910661e+01
0.11            	lowerSurface	1.69447992e+01	1.15627310e+02	1.03471726e+02
0.12            	upperSurface	3.24143028e+00	1.39706140e+02	7.61842132e+01
0.12            	lowerSurface	1.68692698e+01	1.15656335e+02	1.03490471e+02
0.13            	upperSurface	3.08107187e+00	1.39689088e+02	7.52890244e+01
0.13            	lowerSurface	1.70230193e+01	1.15644694e+02	1.03522459e+02
0.14            	upperSurface	3.84588313e+00	1.39688325e+02	7.58535606e+01
0.14            	lowerSurface	1.70795497e+01	1.15629819e+02	1.03495893e+02
0.15            	upperSurface	4.43094274e+00	1.39688762e+02	7.57358631e+01
0.15            	lowerSurface	1.71403832e+01	1.15647362e+02	1.03525479e+02
0.16            	upperSurface	4.99456320e+00	1.39642103e+02	7.56960322e+01
0.16            	lowerSurface	1.70695878e+01	1.15637228e+02	1.03506613e+02
0.17            	upperSurface	4.65626209e+00	1.39765194e+02	7.53811314e+01
0.17            	lowerSurface	1.68894382e+01	1.15683079e+02	1.03545282e+02
0.18            	upperSurface	4.73595712e+00	1.39773776e+02	7.52489022e+01
0.18            	lowerSurface	1.68117487e+01	1.15691145e+02	1.03559970e+02
0.19            	upperSurface	3.38302189e+00	1.39819783e+02	7.42471186e+01
0.19            	lowerSurface	1.67328353e+01	1.15694234e+02	1.03584985e+02
0.2             	upperSurface	4.08089738e+00	1.39783933e+02	7.40540444e+01
0.2             	lowerSurface	1.68284732e+01	1.15673628e+02	1.03599384e+02
0.21            	upperSurface	4.50681179e+00	1.39721450e+02	7.52860659e+01
0.21            	lowerSurface	1.69212097e+01	1.15620925e+02	1.03499476e+02
0.22            	upperSurface	4.12115519e+00	1.39777846e+02	7.64979379e+01
0.22            	lowerSurface	1.68263519e+01	1.15679640e+02	1.03495802e+02
0.23            	upperSurface	4.40043379e+00	1.39815827e+02	7.64051432e+01
0.23            	lowerSurface	1.67384764e+01	1.15703971e+02	1.03516648e+02
0.24            	upperSurface	3.52538991e+00	1.39853366e+02	7.55385844e+01
0.24            	lowerSurface	1.66120620e+01	1.15716674e+02	1.03542508e+02
0.25            	upperSurface	4.08006185e+00	1.39918568e+02	7.47016085e+01
0.25            	lowerSurface	1.65654099e+01	1.15754360e+02	1.03600500e+02
