# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.22360000e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2e-05           	1.71278990e-01	7.01713109e-02	1.01107679e-01	3.09363685e-01	6.90208798e-02	2.40342805e-01	-8.56609628e-02	-1.54681843e-02	8.56394952e-03	4.60446112e-21	8.56394952e-03	-8.56394952e-03
4e-05           	2.09548546e-01	9.00440829e-02	1.19504463e-01	2.94603803e-01	7.58972132e-02	2.18706590e-01	-7.14046885e-02	-1.47301902e-02	1.04774273e-02	4.08650545e-21	1.04774273e-02	-1.04774273e-02
6e-05           	2.10835402e-01	9.15129437e-02	1.19322458e-01	2.78095144e-01	7.61422065e-02	2.01952938e-01	-6.29053656e-02	-1.39047572e-02	1.05417701e-02	3.65041734e-21	1.05417701e-02	-1.05417701e-02
8e-05           	2.06573379e-01	8.97204796e-02	1.16852899e-01	2.71324195e-01	7.49484492e-02	1.96375746e-01	-6.07136485e-02	-1.35662098e-02	1.03286689e-02	3.53668893e-21	1.03286689e-02	-1.03286689e-02
0.0001          	2.03030561e-01	8.79448871e-02	1.15085674e-01	2.71407865e-01	7.44124340e-02	1.96995431e-01	-6.12914986e-02	-1.35703933e-02	1.01515280e-02	3.53315643e-21	1.01515280e-02	-1.01515280e-02
0.00012         	2.00805532e-01	8.68931162e-02	1.13912416e-01	2.70192996e-01	7.43157259e-02	1.95877270e-01	-6.07807721e-02	-1.35096498e-02	1.00402766e-02	3.47685724e-21	1.00402766e-02	-1.00402766e-02
0.00014         	1.99377580e-01	8.62047239e-02	1.13172856e-01	2.69681323e-01	7.42543945e-02	1.95426929e-01	-6.05862670e-02	-1.34840662e-02	9.96887901e-03	3.44240303e-21	9.96887901e-03	-9.96887901e-03
0.00016         	1.97665386e-01	8.53858251e-02	1.12279560e-01	2.68937354e-01	7.41141045e-02	1.94823249e-01	-6.03545723e-02	-1.34468677e-02	9.88326928e-03	3.40267923e-21	9.88326928e-03	-9.88326928e-03
0.00018         	1.95647440e-01	8.44015475e-02	1.11245893e-01	2.68443455e-01	7.40363673e-02	1.94407087e-01	-6.01853599e-02	-1.34221727e-02	9.78237202e-03	3.36520562e-21	9.78237202e-03	-9.78237202e-03
0.0002          	1.93443318e-01	8.33261394e-02	1.10117179e-01	2.67910395e-01	7.39606413e-02	1.93949754e-01	-5.99945563e-02	-1.33955198e-02	9.67216592e-03	3.33513725e-21	9.67216592e-03	-9.67216592e-03
0.00022         	1.91100387e-01	8.21876266e-02	1.08912760e-01	2.67251337e-01	7.38100293e-02	1.93441308e-01	-5.98156392e-02	-1.33625669e-02	9.55501934e-03	3.31101065e-21	9.55501934e-03	-9.55501934e-03
0.00024         	1.88647446e-01	8.09984683e-02	1.07648977e-01	2.66505090e-01	7.36021408e-02	1.92902950e-01	-5.96504044e-02	-1.33252545e-02	9.43237229e-03	3.28915368e-21	9.43237229e-03	-9.43237229e-03
0.00026         	1.86125674e-01	7.97756323e-02	1.06350042e-01	2.65744098e-01	7.33772488e-02	1.92366849e-01	-5.94948001e-02	-1.32872049e-02	9.30628372e-03	3.26879550e-21	9.30628372e-03	-9.30628372e-03
