# Moment        
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2e-05            -7.25679437e+00 -3.77660313e+01 3.50752432e+00 -7.25583693e+00 -3.77616178e+01 3.49135790e+00 -9.57444140e-04 -4.41347831e-03 1.61664206e-02
4e-05            -1.17035420e+01 -5.95938321e+01 5.75616504e+00 -1.17023211e+01 -5.95885071e+01 5.72985436e+00 -1.22085853e-03 -5.32503399e-03 2.63106846e-02
6e-05            -1.41383055e+01 -7.04217995e+01 7.30046241e+00 -1.41366297e+01 -7.04155272e+01 7.25025349e+00 -1.67580181e-03 -6.27231487e-03 5.02089128e-02
8e-05            -1.52419719e+01 -7.48228391e+01 8.27166862e+00 -1.52392384e+01 -7.48188182e+01 8.14207922e+00 -2.73342738e-03 -4.02090304e-03 1.29589400e-01
0.0001           -1.53235809e+01 -7.38381511e+01 8.96159704e+00 -1.53175333e+01 -7.38062883e+01 8.58953403e+00 -6.04761859e-03 -3.18628143e-02 3.72063015e-01
0.00012          -1.46977517e+01 -6.90978855e+01 9.08437335e+00 -1.46935542e+01 -6.90738187e+01 8.70997832e+00 -4.19746480e-03 -2.40668001e-02 3.74395028e-01
0.00014          -1.37517557e+01 -6.29472836e+01 8.98597357e+00 -1.37484235e+01 -6.29267073e+01 8.61004141e+00 -3.33212045e-03 -2.05762763e-02 3.75932164e-01
0.00016          -1.29662940e+01 -5.81727195e+01 8.86350607e+00 -1.29628826e+01 -5.81511038e+01 8.48636308e+00 -3.41143465e-03 -2.16156934e-02 3.77142992e-01
0.00018          -1.24209653e+01 -5.58210958e+01 8.64053250e+00 -1.24171598e+01 -5.57971011e+01 8.26299909e+00 -3.80552120e-03 -2.39947027e-02 3.77533411e-01
0.0002           -1.24212922e+01 -5.58243343e+01 8.64071409e+00 -1.24171598e+01 -5.57971011e+01 8.26299909e+00 -4.13245926e-03 -2.72332900e-02 3.77714999e-01
0.00022          -1.22761951e+01 -5.71668321e+01 8.28822757e+00 -1.22717003e+01 -5.71382102e+01 7.91122793e+00 -4.49484832e-03 -2.86218997e-02 3.76999634e-01
0.00024          -1.22424647e+01 -5.92718723e+01 7.91521799e+00 -1.22377107e+01 -5.92432712e+01 7.53910120e+00 -4.75395289e-03 -2.86010892e-02 3.76116793e-01
0.00026          -1.22426997e+01 -5.92722254e+01 7.91560329e+00 -1.22377107e+01 -5.92432712e+01 7.53910120e+00 -4.98898581e-03 -2.89542020e-02 3.76502087e-01
0.00028          -1.23395197e+01 -6.21321796e+01 7.47237232e+00 -1.23344586e+01 -6.21045316e+01 7.09697569e+00 -5.06109411e-03 -2.76479968e-02 3.75396637e-01
0.0003           -1.23805277e+01 -6.42344971e+01 7.02177111e+00 -1.23755455e+01 -6.42092109e+01 6.64728803e+00 -4.98220252e-03 -2.52862292e-02 3.74483078e-01
0.00032          -1.23804690e+01 -6.42320896e+01 7.02227790e+00 -1.23755455e+01 -6.42092109e+01 6.64728803e+00 -4.92349427e-03 -2.28786541e-02 3.74989867e-01
0.00034          -1.23804104e+01 -6.42296627e+01 7.02277836e+00 -1.23755455e+01 -6.42092109e+01 6.64728803e+00 -4.86482242e-03 -2.04517983e-02 3.75490332e-01
