# Wall shear stress
# Time          	patch           	min             	max             
0               	upperSurface	(-1.76671737e+01 -7.67137904e-19 -1.56132609e+00)	(-1.32419625e+01 7.94876243e-19 1.55542350e+00)
0               	lowerSurface	(-1.76796138e+01 -8.93919550e-19 -3.42341002e+00)	(-1.32404055e+01 8.67861793e-19 -2.96745144e-01)
0.01            	upperSurface	(-5.28413765e+01 -1.13438541e-16 -4.49311134e+01)	(-1.08267127e+00 1.14799333e-16 2.32303617e+00)
0.01            	lowerSurface	(-4.60759278e+01 -1.23869255e-16 -4.15842971e+00)	(-5.61807775e-01 1.19426771e-16 2.79334516e+01)
0.02            	upperSurface	(-5.56815015e+01 -1.16161554e-16 -4.78810526e+01)	(-1.12219633e+00 1.17445870e-16 1.72881187e+00)
0.02            	lowerSurface	(-4.79442027e+01 -1.25900863e-16 -5.54898480e+00)	(-5.41141428e-01 1.22341164e-16 2.79801149e+01)
0.03            	upperSurface	(-5.64832934e+01 -1.17938755e-16 -4.91786514e+01)	(-8.44771022e-01 1.19250728e-16 1.64038515e+00)
0.03            	lowerSurface	(-4.72890243e+01 -1.25580877e-16 -6.51987558e+00)	(-5.42209812e-01 1.22038628e-16 2.73684887e+01)
0.04            	upperSurface	(-5.69077344e+01 -1.17586941e-16 -5.18211393e+01)	(-6.49146977e-02 1.18931978e-16 1.48533730e+00)
0.04            	lowerSurface	(-4.60772884e+01 -1.25872123e-16 -9.46296147e+00)	(-4.94242927e-01 1.22377903e-16 2.51188513e+01)
0.05            	upperSurface	(-5.72130469e+01 -1.17008807e-16 -5.28634087e+01)	(9.77759605e-03 1.18381281e-16 1.45359629e+00)
0.05            	lowerSurface	(-4.54649845e+01 -1.25908556e-16 -1.06479873e+01)	(-4.63472210e-01 1.22501144e-16 2.43352276e+01)
0.06            	upperSurface	(-5.73197937e+01 -1.16511435e-16 -5.34896239e+01)	(2.60260835e-01 1.17209066e-16 1.46162416e+00)
0.06            	lowerSurface	(-4.50963868e+01 -1.26067695e-16 -1.13808913e+01)	(-4.40867498e-01 1.22710769e-16 2.38630798e+01)
0.07            	upperSurface	(-5.73871665e+01 -1.15120472e-16 -5.38744682e+01)	(5.56011802e-01 1.16336814e-16 1.51816977e+00)
0.07            	lowerSurface	(-4.48703349e+01 -1.26117233e-16 -1.18469950e+01)	(-4.03211611e-01 1.22787110e-16 2.35878273e+01)
0.08            	upperSurface	(-5.74157322e+01 -1.13657470e-16 -5.41712858e+01)	(9.46760874e-01 1.15111054e-16 1.54667170e+00)
0.08            	lowerSurface	(-4.47179524e+01 -1.26132243e-16 -1.22119898e+01)	(-3.71891896e-01 1.22827729e-16 2.33735222e+01)
0.09            	upperSurface	(-5.74586993e+01 -1.12643222e-16 -5.44270516e+01)	(1.32012036e+00 1.14354566e-16 1.55627701e+00)
0.09            	lowerSurface	(-4.46047448e+01 -1.26055723e-16 -1.25116314e+01)	(-3.46648628e-01 1.22775435e-16 2.32068586e+01)
0.1             	upperSurface	(-5.74788004e+01 -1.12210151e-16 -5.46001489e+01)	(1.56766951e+00 1.12881485e-16 1.55301424e+00)
0.1             	lowerSurface	(-4.45206141e+01 -1.26011726e-16 -1.27348012e+01)	(-3.27427678e-01 1.22745996e-16 2.30785145e+01)
0.11            	upperSurface	(-5.75035325e+01 -1.11280960e-16 -5.47326641e+01)	(1.72325180e+00 1.12784091e-16 1.54736532e+00)
0.11            	lowerSurface	(-4.44607157e+01 -1.26000227e-16 -1.28878139e+01)	(-3.14554698e-01 1.22742507e-16 2.29962403e+01)
0.12            	upperSurface	(-5.75244610e+01 -1.10842465e-16 -5.48222545e+01)	(1.82794788e+00 1.12459361e-16 1.54325213e+00)
0.12            	lowerSurface	(-4.44172946e+01 -1.26014327e-16 -1.29979801e+01)	(-3.05059343e-01 1.22765580e-16 2.29348018e+01)
0.13            	upperSurface	(-5.75360060e+01 -1.10470566e-16 -5.48939896e+01)	(1.90963435e+00 1.12178239e-16 1.54206392e+00)
0.13            	lowerSurface	(-4.43835322e+01 -1.26001766e-16 -1.30904490e+01)	(-2.96771854e-01 1.22761657e-16 2.28817060e+01)
0.14            	upperSurface	(-5.75412519e+01 -1.10077616e-16 -5.49517333e+01)	(1.98099039e+00 1.11849555e-16 1.54053241e+00)
0.14            	lowerSurface	(-4.43567817e+01 -1.26746039e-16 -1.31641447e+01)	(-2.89931729e-01 1.22756233e-16 2.28396689e+01)
